# experiment P-88 (R-088)
# hypothesis: THE HIGHEST-VALUE GAMEPLAY FEATURE IN THE MECHANICS DOSSIER IS BLOCKED ON A SUB-PROBLEM THE DOSSIER ITSELF NAMES AS THE HARD ONE. CALIBRE -- every creature carries a half-width lambda, reachable space is the connected component of {r >= lambda} -- needs rho maintained under material removal, and the docs say plainly that 'the genuinely hard sub-problem is maintaining rho itself under material removal', with the defining paper (Chazal and Lieutier 10.1016/j.gmod.2005.01.002) unobtainable and O-19 still open on which direction the lambda-filter runs. AN OCTREE OF FREE CELLS GIVES A CLEARANCE LOWER BOUND WITH NO MEDIAL AXIS AT ALL: a cell of side s that is entirely empty admits a sphere of radius s/2, and P-87's merged convex regions give a larger bound directly. M-346 already established the crate can state a clearance rather than only a connection, with exactly zero error where the answer is known. This asks whether the octree route reaches the same number cheaply enough to ship. RIDES P-87 and is not runnable without it. (C1) The octree clearance lower bound is within 1 VOXEL of the true clearance on at least 90% of sampled points across M-346's fixtures -- the same bar the dossier set for CALIBRE's oracle check. (C2) Lambda- membership flips after an edit are AT MOST 4x the changed samples -- again the dossier's own registered bar -- and the flip set is computable from P-87's repair set with no extra traversal. (C3) IT IS CONSERVATIVE IN THE SAFE DIRECTION: the bound NEVER overstates clearance, over 10^6 samples. A creature is never told it fits where it does not. SHARE: this is an accuracy and a rate, not a ratio of a total.
# falsified by: C1 by under 90%, which means the bound is too loose to gate a passage and CALIBRE still needs rho. C2 by above 4x, or by a flip set that is not a subset of P-87's repair set. C3 BY ONE OVERSTATEMENT -- this is one-sided and a single violation kills it, because a gameplay gate that lies in the permissive direction is worse than no gate. VACUITY CONTROL: the sample set must include points whose true clearance is known analytically (M-346's fixtures) and points in dug passages narrower than 2 cells, both reported as counts.
# commit 0a7594c on amd-ryzen-9-5900x-12-core at 2026-08-28T00:56:27Z
fixture,samples,known_clearance_samples,narrow_passage_samples,within_one_voxel,within_fraction,overstatements,max_overstatement_cells,lambda_flips,changed_samples,flip_factor,flips_outside_repair_set,c1_holds,c2_holds,c3_holds,all_leaves,bound_ns_per_query,cell_size_world,clock_mhz,edits,estimator,field,flip_factor_l05,flip_factor_l10,flip_factor_l15,flip_factor_l20,flip_factor_l30,flips_outside_leaf_subset,flips_outside_repair_set_l05,flips_outside_repair_set_l10,flips_outside_repair_set_l15,flips_outside_repair_set_l20,flips_outside_repair_set_l30,free_cells,free_leaves,lambda_cells,max_understatement_cells,mean_error_cells,median_error_cells,narrow_cut_cells,narrow_edits,narrow_within_one_voxel,octree_depth,p90_error_cells,probe_overstatements,refine_factor,repair_nav_cells,repair_set_cells,repair_set_fraction,static_regions,truth_source,uniform_samples,wide_brush_cells,wide_edits,within_fraction_uniform,within_half_voxel,within_two_voxels,world_cells,world_total_cells,worst_edit_flip_factor,worst_edit_index,zero_bound_samples
slab_r2,160000,160000,23878,160000,1.000000,0,0.000000000,56,228,0.2456,0,true,true,true,3536,20.9,0.06250000,4200,11,region,slab,0.2456,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,256,256,0.5,1.000000,0.505620,0.459098,0.90,11,23878,6,0.962671,84382,1,1829,45751,0.174526,1,analytic,136122,6.0,0,1.000000,84382,160000,64,262144,0.2500,4,107265
slab_r2,160000,160000,23878,160000,1.000000,0,0.000000000,56,228,0.2456,0,true,true,true,3536,660.1,0.06250000,4200,11,ball,slab,0.2456,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,256,256,0.5,1.000000,0.505181,0.456227,0.90,11,23878,6,0.962671,84613,1,1829,45751,0.174526,1,analytic,136122,6.0,0,1.000000,84613,160000,64,262144,0.2500,4,107265
slab_r4,160000,160000,6895,112228,0.701425,0,0.000000000,56,228,0.2456,0,false,true,true,6224,26.6,0.06250000,4200,11,region,slab,0.2456,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,2048,1152,0.5,2.000000,0.861736,0.824821,0.90,11,6895,6,1.774336,47185,1,1829,45751,0.174526,3,analytic,153105,6.0,0,0.687979,47185,160000,64,262144,0.2500,4,59834
slab_r4,160000,160000,6895,133700,0.835625,0,0.000000000,56,228,0.2456,0,false,true,true,6224,791.3,0.06250000,4200,11,ball,slab,0.2456,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,2048,1152,0.5,1.171573,0.695979,0.797920,0.90,11,6895,6,1.103077,48132,1,1829,45751,0.174526,3,analytic,153105,6.0,0,0.828222,48132,160000,64,262144,0.2500,4,59834
slab_r8,160000,160000,1716,58440,0.365250,0,0.000000000,56,228,0.2456,0,false,true,true,11152,30.7,0.06250000,4200,11,region,slab,0.2456,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,10496,2880,0.5,4.000000,1.641504,1.561330,0.90,11,1716,6,3.500651,29008,1,1725,38839,0.148159,11,analytic,158284,6.0,0,0.358369,29008,113767,64,262144,0.2500,4,30275
slab_r8,160000,160000,1716,105184,0.657400,0,0.000000000,56,228,0.2456,0,false,true,true,11152,1043.4,0.06250000,4200,11,ball,slab,0.2456,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,10496,2880,0.5,1.291796,0.826831,0.928869,0.90,11,1716,6,1.268201,33614,1,1725,38839,0.148159,11,analytic,158284,6.0,0,0.653686,33614,160000,64,262144,0.2500,4,30275
fbm_terrain_64,160000,0,10618,74145,0.463406,38,0.250000000,2873,3387,0.8482,0,false,true,false,18852,31.5,0.06250000,4200,11,region,fbm_terrain,0.8482,0.1913,0.1913,0.0567,0.0118,0,0,0,0,0,0,88162,5422,0.5,12.552669,2.255062,1.311240,0.90,3,10618,6,6.236757,63839,4,8927,65311,0.249142,1475,refined,152000,6.0,8,0.435164,63908,92262,64,262144,0.8082,7,11847
fbm_terrain_64,160000,0,10618,148742,0.929638,463,0.500000000,1330,3387,0.3927,682,true,false,false,18852,623.2,0.06250000,4200,11,ball,fbm_terrain,0.8482,0.6430,0.6430,0.5244,0.3927,703,0,283,283,474,682,88162,5422,3.0,1.299013,0.292762,0.000000,0.90,3,10618,6,0.948900,110111,4,8927,65311,0.249142,1475,refined,152000,6.0,8,0.925934,110324,160000,64,262144,1.1176,3,11847
gyroid_64,160000,0,9957,56142,0.350888,17,0.246773339,2896,3476,0.8331,0,false,true,false,29044,37.0,0.06250000,4200,11,region,gyroid,0.8331,0.1899,0.1899,0.0184,0.0023,0,0,0,0,0,0,124765,8201,0.5,16.316283,3.358388,2.277533,0.90,3,9957,6,8.418815,45143,4,9543,31376,0.119690,3213,refined,152000,6.0,8,0.316724,45209,75351,64,262144,0.8941,4,12658
gyroid_64,160000,0,9957,138305,0.864406,101,0.289305665,1105,3476,0.3179,451,false,false,false,29044,849.2,0.06250000,4200,11,ball,gyroid,0.8331,0.6064,0.6064,0.4822,0.3179,465,0,260,260,332,451,124765,8201,3.0,1.299033,0.355595,0.000000,0.90,3,9957,6,1.051693,102277,4,9543,31376,0.119690,3213,refined,152000,6.0,8,0.857270,102434,160000,64,262144,0.4437,5,12658
fbm_terrain_128,160000,0,8427,63180,0.394875,5,0.250000000,3024,3845,0.7865,0,false,true,false,75811,53.5,0.03125000,4200,11,region,fbm_terrain,0.7865,0.3017,0.3017,0.1165,0.0312,0,0,0,0,0,0,721331,21492,0.5,24.922016,4.557397,2.717956,0.90,3,8427,7,12.542291,57633,4,10877,387884,0.184958,5962,refined,152000,6.0,8,0.363026,57678,73173,128,2097152,0.7932,7,8369
fbm_terrain_128,160000,0,8427,139424,0.871400,81,0.250000000,1282,3845,0.3334,474,false,false,false,75811,958.4,0.03125000,4200,11,ball,fbm_terrain,0.7865,0.5506,0.5506,0.4455,0.3334,538,0,191,191,240,474,721331,21492,3.0,1.299031,0.333534,0.000000,0.90,3,8427,7,1.035101,104562,4,10877,387884,0.184958,5962,refined,152000,6.0,8,0.864632,104673,160000,128,2097152,0.7941,3,8369
gyroid_128,160000,0,8313,44070,0.275438,2,0.179234539,3086,4032,0.7654,0,false,true,false,117349,56.3,0.03125000,4200,11,region,gyroid,0.7654,0.2262,0.2262,0.0635,0.0099,0,0,0,0,0,0,1023258,33339,0.5,32.956128,6.890810,4.786643,0.90,3,8313,7,17.150570,38158,4,11164,100163,0.047761,13036,refined,152000,6.0,8,0.237303,38178,54649,128,2097152,0.8766,4,8672
gyroid_128,160000,0,8313,125511,0.784444,4,0.179234539,989,4032,0.2453,328,false,false,false,117349,1393.8,0.03125000,4200,11,ball,gyroid,0.7654,0.4965,0.4965,0.3869,0.2453,357,0,149,149,215,328,1023258,33339,3.0,1.299037,0.390762,0.000000,0.90,3,8313,7,1.136304,99623,4,11164,100163,0.047761,13036,refined,152000,6.0,8,0.773099,99676,160000,128,2097152,0.3444,5,8672
