# experiment P-9 (R-002)
# hypothesis: For buckets of ≥3 coincident vertices, at least one reference field yields ≥2 distinct outputs across P seeded permutations of within-bucket merge order.
# falsified by: All P permutations byte-identical on every field — meaning the k-way weld is confluent and no canonical order is needed.
# commit 94d5899 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T01:34:16Z
distinct_outputs,vertex_count_spread,buckets_of_three_or_more,extractor,field
1,0,6,marching_cubes,sphere
1,0,6,marching_cubes+decider,sphere
1,0,6,marching_tetrahedra,sphere
1,0,0,surface_nets,sphere
1,0,0,dual_contouring,sphere
1,0,0,manifold_dual_contouring,sphere
1,0,6,subgrid_marching_tetrahedra,sphere
1,0,8,marching_cubes,torus
1,0,8,marching_cubes+decider,torus
1,0,8,marching_tetrahedra,torus
1,0,0,surface_nets,torus
5,0,0,dual_contouring,torus
5,0,0,manifold_dual_contouring,torus
1,0,8,subgrid_marching_tetrahedra,torus
1,0,6,marching_cubes,box_exact
1,0,6,marching_cubes+decider,box_exact
1,0,6,marching_tetrahedra,box_exact
1,0,0,surface_nets,box_exact
1,0,0,dual_contouring,box_exact
1,0,0,manifold_dual_contouring,box_exact
1,0,6,subgrid_marching_tetrahedra,box_exact
1,0,6,marching_cubes,csg_difference
1,0,6,marching_cubes+decider,csg_difference
1,0,6,marching_tetrahedra,csg_difference
1,0,0,surface_nets,csg_difference
1,0,0,dual_contouring,csg_difference
1,0,0,manifold_dual_contouring,csg_difference
1,0,6,subgrid_marching_tetrahedra,csg_difference
1,0,6,marching_cubes,thin_plate
1,0,6,marching_cubes+decider,thin_plate
1,0,6,marching_tetrahedra,thin_plate
1,0,0,surface_nets,thin_plate
1,0,0,dual_contouring,thin_plate
1,0,0,manifold_dual_contouring,thin_plate
1,0,6,subgrid_marching_tetrahedra,thin_plate
1,0,1,marching_cubes,gyroid
1,0,1,marching_cubes+decider,gyroid
1,0,1,marching_tetrahedra,gyroid
1,0,0,surface_nets,gyroid
1,0,0,dual_contouring,gyroid
1,0,0,manifold_dual_contouring,gyroid
1,0,1,subgrid_marching_tetrahedra,gyroid
1,0,2,marching_cubes,fbm_terrain
1,0,2,marching_cubes+decider,fbm_terrain
1,0,2,marching_tetrahedra,fbm_terrain
1,0,0,surface_nets,fbm_terrain
1,0,0,dual_contouring,fbm_terrain
1,0,0,manifold_dual_contouring,fbm_terrain
1,0,2,subgrid_marching_tetrahedra,fbm_terrain
4,0,21,marching_cubes,noise_cavity
4,0,21,marching_cubes+decider,noise_cavity
6,0,21,marching_tetrahedra,noise_cavity
2,0,0,surface_nets,noise_cavity
8,4,1,dual_contouring,noise_cavity
8,2,2,manifold_dual_contouring,noise_cavity
6,0,32,subgrid_marching_tetrahedra,noise_cavity
