# experiment P-91 (R-091)
# hypothesis: TWO ROWS OF THE EXISTING DOCS MEET HERE AND NEITHER NAMES THE HEAD- TO-HEAD. Item 3.6 proposes Lengyel's one-scalar geomorph at 6 bytes per vertex instead of 12 and predicts it FAILS on gyroid and succeeds on fbm_terrain -- 'geomorph on terrain, not on caves'. Item 3.8 proposes switching LOD at the distance where p99 pixels-of-pop falls under one pixel, against M-121's measured pop of up to 3.14 cells. The comparison nobody has run is geomorph against the other standard answer, dithered or alpha-to-coverage cross-fade. THE SWEEP FOUND NO BENCHMARK FOR ANY DITHERED LOD BLEND ANYWHERE. The one measured argument in the literature favours morphing and it is a BANDWIDTH argument rather than an aesthetic one: Haydel, Yuksel and Seiler (10.1145/3618359) chose morphing over stochastic LOD because stochastic causes 'significantly increased data movement' spikes at transitions -- though their hardware is a CYCLE-ACCURATE SIMULATION OF TRaX, NOT A REAL GPU, which is why the argument that survives the port is the structural one and not the number. GATED ON P-77, which measures history rejection. (C1) Geomorph gets p99 pixels-of-pop under 1.0 on fbm_terrain at the current switch distance and FAILS on gyroid, reproducing 3.6's prediction. (C2) Dithered cross-fade gets a LOWER p99 pop than geomorph on gyroid -- because it does not need a coarse-mesh counterpart along p + t*n, which a triply-periodic field denies it -- and a HIGHER cost, measured as P-77's temporal- history rejection. (C3) Dither's cost lands in the same budget destruction has already spent: rejection under dithered LOD plus active digging is MORE THAN THE SUM of each alone. SHARE: C1 and C2 move the LOD transition only; C3 moves the TAA resolve.
# falsified by: C1 by either half -- geomorph failing on terrain would kill it outright, and succeeding on gyroid would be a better result than predicted and needs explaining. C2 by dither also failing on gyroid, which would mean neither transition works on cave topology and the honest answer is a hard switch at a distance where nobody looks. C3 by additivity, which would mean the two effects are independent and dither is affordable after all. VACUITY CONTROL: the no-transition arm must show a measurable pop, reported in pixels, or both methods are being compared against an invisible baseline.
# commit 874a68b on amd-ryzen-9-5900x-12-core at 2026-08-28T00:56:51Z
field,switch_distance,method,p99_pixels_of_pop,max_pixels_of_pop,pop_cells,bytes_per_vertex,history_rejected_static,history_rejected_lod,history_rejected_lod_and_digging,sum_of_parts,superadditivity,c1_holds,c2_holds,c3_holds,bytes_per_vertex_doc_claim,bytes_second_position,c1_half_this_row_holds,c2_cost_half_holds,c2_pop_half_holds,coarse_bytes,coarse_h,coarse_triangles,coarse_vertices,cpu_mhz,degenerate_coarse_triangles,dig_h_coarse,dig_h_fine,distance_for_p99_under_one_px,dither_flip_fraction_per_frame,dither_slots,excess_rejected_digging,excess_rejected_lod,fade_frames,fine_bytes,fine_h,fine_triangles,fine_vertices,fov_y_deg,geomorph_fail_fraction_cell,geomorph_fail_fraction_cell27,geomorph_fail_fraction_reach,geomorph_flipped_cell,geomorph_flipped_reach,geomorph_no_hit_cell,geomorph_no_hit_reach,geomorph_no_normal_cell,geomorph_success_cell,geomorph_success_reach,history_rejected_digging,history_rejected_lod_geomorph,history_rejected_lod_geomorph_uv_locked,history_rejected_this_method,lod_from,lod_to,m121_committed_worst_pop_cells,m121_reproduced_adjacent_only,m121_reproduced_median,m121_reproduced_worst_pop_cells,morph_t_max_coarse_cells_cell,morph_t_max_coarse_cells_reach,p99_pixels_across_view,p99_pixels_vertex_metric,pixels_per_world_unit_at_distance,pop_cells_p99,pop_cells_surface_max,pop_cells_vertex_metric_max,pop_world_max,pop_world_p99,superadditivity_ceiling,superadditivity_excess_samples,taa_brushes_placed,taa_height,taa_population_static,taa_warmup_frames,taa_width,taa_window_frames,threads,vacuity_none_max_pixels,vacuity_none_p99_pixels,view_height_px
fbm_terrain,7.000,none,29.7375,41.6578,0.894715,0,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,NA,false,true,12840,0.5000,498,286,4200,0,0.2500,0.1250,208.16,0.083333,1,7374.0,89947.0,12,53832,0.2500,2168,1159,45.0,0.396894,0.053494,0.053494,0,0,460,62,0,699,1097,41196,432188,431578,33822,0,1,3.136,1.6177,1.4574,3.1412,0.584485,0.584485,26.1932,67.1820,186.2393,0.638695,0.894715,1.541236,0.223679,0.159674,1.075770,241,2,270,1030808,16,480,8,24,41.6578,29.7375,1080
fbm_terrain,7.000,geomorph,25.0771,41.6578,0.894715,4,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,false,false,true,12840,0.5000,498,286,4200,0,0.2500,0.1250,175.54,0.083333,1,7374.0,89947.0,12,53832,0.2500,2168,1159,45.0,0.396894,0.053494,0.053494,0,0,460,62,0,699,1097,41196,432188,431578,432188,0,1,3.136,1.6177,1.4574,3.1412,0.584485,0.584485,26.1932,67.1820,186.2393,0.538599,0.894715,1.541236,0.223679,0.134650,1.075770,241,2,270,1030808,16,480,8,24,41.6578,29.7375,1080
fbm_terrain,7.000,dither_s1,29.7375,41.6578,0.894715,0,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,NA,false,true,12840,0.5000,498,286,4200,0,0.2500,0.1250,208.16,0.083333,1,7374.0,89947.0,12,53832,0.2500,2168,1159,45.0,0.396894,0.053494,0.053494,0,0,460,62,0,699,1097,41196,432188,431578,123769,0,1,3.136,1.6177,1.4574,3.1412,0.584485,0.584485,26.1932,67.1820,186.2393,0.638695,0.894715,1.541236,0.223679,0.159674,1.075770,241,2,270,1030808,16,480,8,24,41.6578,29.7375,1080
fbm_terrain,7.000,dither_s4,7.4344,10.4144,0.223679,0,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,NA,false,true,12840,0.5000,498,286,4200,0,0.2500,0.1250,52.04,0.083333,4,7374.0,89947.0,12,53832,0.2500,2168,1159,45.0,0.396894,0.053494,0.053494,0,0,460,62,0,699,1097,41196,432188,431578,123769,0,1,3.136,1.6177,1.4574,3.1412,0.584485,0.584485,26.1932,67.1820,186.2393,0.159674,0.894715,1.541236,0.055920,0.039918,1.075770,241,2,270,1030808,16,480,8,24,41.6578,29.7375,1080
fbm_terrain,7.000,dither,3.7172,5.2072,0.111839,0,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,NA,false,true,12840,0.5000,498,286,4200,0,0.2500,0.1250,26.02,0.083333,8,7374.0,89947.0,12,53832,0.2500,2168,1159,45.0,0.396894,0.053494,0.053494,0,0,460,62,0,699,1097,41196,432188,431578,123769,0,1,3.136,1.6177,1.4574,3.1412,0.584485,0.584485,26.1932,67.1820,186.2393,0.079837,0.894715,1.541236,0.027960,0.019959,1.075770,241,2,270,1030808,16,480,8,24,41.6578,29.7375,1080
gyroid,7.000,none,7.7467,8.7655,0.188263,0,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,NA,false,true,38952,0.5000,1492,877,4200,4,0.2500,0.1250,54.23,0.083333,1,7374.0,89947.0,12,152520,0.2500,6092,3309,45.0,0.484436,0.083409,0.083409,0,0,1603,276,0,1706,3033,41196,432188,431578,33822,0,1,3.136,1.6177,1.4574,3.1412,0.097031,0.097031,7.2074,66.9965,186.2393,0.166381,0.188263,1.523543,0.047066,0.041595,1.075770,241,2,270,1030808,16,480,8,24,8.7655,7.7467,1080
gyroid,7.000,geomorph,4.1900,6.2964,0.135233,4,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,true,false,true,38952,0.5000,1492,877,4200,4,0.2500,0.1250,29.33,0.083333,1,7374.0,89947.0,12,152520,0.2500,6092,3309,45.0,0.484436,0.083409,0.083409,0,0,1603,276,0,1706,3033,41196,432188,431578,432188,0,1,3.136,1.6177,1.4574,3.1412,0.097031,0.097031,7.2074,66.9965,186.2393,0.089991,0.188263,1.523543,0.033808,0.022498,1.075770,241,2,270,1030808,16,480,8,24,8.7655,7.7467,1080
gyroid,7.000,dither_s1,7.7467,8.7655,0.188263,0,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,NA,false,true,38952,0.5000,1492,877,4200,4,0.2500,0.1250,54.23,0.083333,1,7374.0,89947.0,12,152520,0.2500,6092,3309,45.0,0.484436,0.083409,0.083409,0,0,1603,276,0,1706,3033,41196,432188,431578,123769,0,1,3.136,1.6177,1.4574,3.1412,0.097031,0.097031,7.2074,66.9965,186.2393,0.166381,0.188263,1.523543,0.047066,0.041595,1.075770,241,2,270,1030808,16,480,8,24,8.7655,7.7467,1080
gyroid,7.000,dither_s4,1.9367,2.1914,0.047066,0,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,NA,false,true,38952,0.5000,1492,877,4200,4,0.2500,0.1250,13.56,0.083333,4,7374.0,89947.0,12,152520,0.2500,6092,3309,45.0,0.484436,0.083409,0.083409,0,0,1603,276,0,1706,3033,41196,432188,431578,123769,0,1,3.136,1.6177,1.4574,3.1412,0.097031,0.097031,7.2074,66.9965,186.2393,0.041595,0.188263,1.523543,0.011766,0.010399,1.075770,241,2,270,1030808,16,480,8,24,8.7655,7.7467,1080
gyroid,7.000,dither,0.9683,1.0957,0.023533,0,33822,123769,131384,131143.0,1.002476,false,false,true,6,12,NA,false,true,38952,0.5000,1492,877,4200,4,0.2500,0.1250,6.78,0.083333,8,7374.0,89947.0,12,152520,0.2500,6092,3309,45.0,0.484436,0.083409,0.083409,0,0,1603,276,0,1706,3033,41196,432188,431578,123769,0,1,3.136,1.6177,1.4574,3.1412,0.097031,0.097031,7.2074,66.9965,186.2393,0.020798,0.188263,1.523543,0.005883,0.005199,1.075770,241,2,270,1030808,16,480,8,24,8.7655,7.7467,1080
