# experiment P-92 (R-092)
# hypothesis: THE BAR IS PUBLIC AND LOW. meshoptimizer decodes sponza -- 184k vertices, 262k triangles -- in 1.92 ms on a Core i7-8650U at 2 GHz, against Draco's 169 ms. That is about 7.3 NANOSECONDS PER TRIANGLE, SINGLE-THREADED, TO DECODE, and decoding produces geometry and nothing else. This crate's extraction produces the geometry AND the material weights AND the gradient normals from a field plus an edit log that is far smaller than any encoding of 440k triangles. And M-31's bit-exact cross-platform determinism turns that from a gamble into a protocol: both endpoints extract the same mesh from the same field, and the golden hashes prove it. THE SWEEP FOUND NOTHING PUBLISHED ON THIS. (C1) Marginal extraction cost per triangle is under 7.3 ns on the Zen 3 for marching_cubes at 33^3 chunks, i.e. re-extracting is cheaper than decoding an encoded mesh of the same output. THIS IS GENUINELY UNCERTAIN and is why it is measured rather than asserted: M-20's 4.75 ns per SAMPLE and x51's 10.68 ns per sample extraction marginal do not settle a per-TRIANGLE figure. (C2) The field plus edit log for a dug chunk is at least 20x smaller than meshopt's encoding of that chunk's triangles, across M-50's four log buckets. (C3) Extraction from the same field and log on the M5 and the Zen 3 produces byte-identical output over a 10^4-edit trace -- M-31 at 216 fixtures extended to a long replay, which is a different regime. SHARE: C1 is a per-triangle cost, compared like for like against a published per-triangle cost on named hardware.
# falsified by: C1 by above 7.3 ns, which closes the argument with a number and is the outcome to expect if the surface-to-triangle ratio is unfavourable. C2 by under 20x, which would mean long edit logs approach the size of the geometry they produce and the argument has a crossover the log-trimming ticket must respect. C3 BY ONE DIFFERING BYTE, which is the single most important negative result available here and would end the direction. VACUITY CONTROL: the encoded-size arm must use a real encoder on the real triangles, not an estimate, and its decode time must be measured on this machine rather than quoted from the blog post.
# commit ad0a5a3 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:59:12Z
field,chunk_cells,triangles,extract_ms,ns_per_triangle,meshopt_bytes,meshopt_decode_ms,meshopt_ns_per_triangle,field_plus_log_bytes,size_ratio,log_bucket,replay_edits,bytes_differing,c1_holds,c2_holds,c3_holds,arm,brushes,brushes_biting,brushes_drawn,bytes_differing_scope,c1_holds_vs_measured,cycles_per_triangle,cycles_per_triangle_total,fit_a_ms,fit_points,fit_r2,fit_sound,ghz,knob,mesh_bytes,meshopt_bytes_f32,meshopt_bytes_per_triangle,meshopt_control_differing,meshopt_index_bytes,meshopt_roundtrip_differing,meshopt_vertex_bytes,ns_per_triangle_total,peer,precision,published_ns_per_triangle,regen_control_differing,regen_differing,replay_min_triangles,replay_ms,replay_total_triangles,samples,size_ratio_f32,triangle_term_share,vertices,worst_ratio
box_exact,32,296,0.283863,21.9212,1143,0.001410,4.7635,57,20.0526,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,93.0802,4054.0257,0.277785,8,0.999982,true,4.1901,0.3100,7152,1510,3.8615,1,362,0,781,958.9966,n/a,f32,7.3,7050,0,n/a,n/a,n/a,35937,26.4912,0.0229,150,1.0000
box_exact,32,968,0.298953,21.9212,3172,0.004180,4.3182,57,55.6491,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,93.0802,1309.7680,0.277785,8,0.999982,true,4.1896,0.5300,23280,4037,3.2769,1,1156,0,2016,308.8357,n/a,f32,7.3,22380,0,n/a,n/a,n/a,35937,70.8246,0.0710,486,1.0000
box_exact,32,2024,0.322153,21.9212,6001,0.008810,4.3528,57,105.2807,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,93.0802,673.1005,0.277785,8,0.999982,true,4.1922,0.7700,48624,7600,2.9649,1,2411,0,3590,159.1665,n/a,f32,7.3,47740,0,n/a,n/a,n/a,35937,133.3333,0.1377,1014,1.0000
box_exact,32,3464,0.353843,21.9212,9415,0.015310,4.4197,57,165.1754,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,93.0802,431.1811,0.277785,8,0.999982,true,4.1831,1.0100,83184,12090,2.7180,1,4133,0,5282,102.1487,n/a,f32,7.3,80879,0,n/a,n/a,n/a,35937,212.1053,0.2146,1734,1.0000
box_exact,32,4328,0.372964,21.9212,12011,0.019720,4.5564,57,210.7193,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,93.0802,364.3312,0.277785,8,0.999982,true,4.1776,1.2300,103920,14724,2.7752,1,5172,0,6839,86.1747,n/a,f32,7.3,101734,0,n/a,n/a,n/a,35937,258.3158,0.2544,2166,1.0000
box_exact,32,6344,0.417373,21.9212,16737,0.029870,4.7084,57,293.6316,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,93.0802,284.1267,0.277785,8,0.999982,true,4.1336,1.4700,152304,20267,2.6382,1,7546,0,9191,65.7902,n/a,f32,7.3,150035,0,n/a,n/a,n/a,35937,355.5614,0.3332,3174,1.0000
box_exact,32,8744,0.469464,21.9212,22636,0.041791,4.7794,57,397.1228,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,93.0802,226.7821,0.277785,8,0.999982,true,4.1849,1.6900,209904,26855,2.5887,1,10475,0,12161,53.6898,n/a,f32,7.3,205809,0,n/a,n/a,n/a,35937,471.1404,0.4083,4374,1.0000
box_exact,32,10088,0.498445,21.9212,25756,0.048001,4.7582,57,451.8596,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,93.0802,208.6619,0.277785,8,0.999982,true,4.1850,1.8300,242160,30297,2.5531,1,12014,0,13742,49.4097,n/a,f32,7.3,238103,0,n/a,n/a,n/a,35937,531.5263,0.4437,5046,1.0000
box_exact,32,296,0.282423,22.9063,1143,0.001410,4.7635,97,11.7835,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,95.7758,4043.3230,0.276431,8,0.999961,true,4.1903,0.3100,10752,1510,3.8615,1,362,0,781,954.1318,n/a,f64,7.3,10752,0,n/a,n/a,n/a,35937,15.5670,0.0240,150,1.0000
box_exact,32,968,0.298333,22.9063,3172,0.004190,4.3285,97,32.7010,none,0,0,false,n/a,n/a,c1_marginal,0,n/a,n/a,regen-from-description,false,95.7758,1300.9785,0.276431,8,0.999961,true,4.1918,0.5300,34944,4037,3.2769,1,1156,0,2016,308.1952,n/a,f64,7.3,34944,0,n/a,n/a,n/a,35937,41.6186,0.0743,486,1.0000
