# experiment P-93 (R-093)
# hypothesis: M-377 NAMED THIS COST AND DID NOT PRICE IT. At 4^3 the trace carries 51.6% MORE VERTEX DATA than 64^3 for the same 53,110 distinct surface points -- 81,548 against 53,788 -- with the duplication ratio running 2.2122x at 2^3 down to 1.0128x at 64^3. The entry says plainly that this is 'the number a consumer paying for GPU upload should weigh against the 51x edit win', and x54 has since measured what upload actually costs: 7.3236 ms of an 8.3694 ms GPU total, 87.50%. SO THE WEIGH-OFF IS NOW COMPUTABLE AND IT HAS NEVER BEEN COMPUTED. (C1) There is a CROSSOVER: below some edits-per-second rate, 64^3 wins on total frame cost despite the 51x edit penalty, because the upload dominates. Predicted to exist between 1 and 20 edits per second -- game_dig throttles the stroke to 12.5 per second, which is inside that window. (C2) Welding closes the duplication (M-377 says it does) at a cost that is itself granularity-dependent, and at 4^3 the weld costs MORE than the upload it saves. (C3) A per-chunk granularity -- coarse for static chunks, fine for actively-dug ones -- beats both fixed choices by at least 1.5x on the eleven-edit trace with a moving camera. SHARE: C1 weighs the remesh stage against the upload stage, whose shares M-377 and x54 have both measured.
# falsified by: C1 by no crossover in 0.1-100 edits per second, which would mean 4^3 wins unconditionally and the granularity decision is settled rather than a trade. C2 by the weld being cheaper, which resolves the trade in 4^3's favour and makes C1's crossover a curiosity. C3 by under 1.5x, in which case one global granularity is the right answer and the scheduler stays simple. VACUITY CONTROL: the upload arm must actually upload -- asserted against x54's own gpu_vs_cpu.csv row rather than quoted, per P-70's precedent -- and the camera arm must move enough to change the visible chunk set, reported as a count.
# commit 487bdf3 on amd-ryzen-9-5900x-12-core at 2026-08-28T01:00:01Z
field,chunk_cells,edits_per_second,remesh_ms,upload_ms,weld_ms,total_ms,raw_vertices,distinct_surface_points,vertex_duplication,crossover_edits_per_second,mixed_granularity_ms,mixed_speedup,visible_chunk_changes,c1_holds,c2_holds,c3_holds,adapter,backend,bus_ceiling_gb_per_s,c1_holds_arena,c1_holds_bytes,calibration_upload_bytes,calibration_upload_gb_per_s,calibration_upload_ms,chunks,committed_upload_bytes,committed_upload_gb_per_s,committed_upload_ms,cpu_khz,crossover_arena_edits_per_second,crossover_bytes_edits_per_second,crossover_streaming_shortfall,edit_ms_per_edit,edits,excess_reuploads_per_second_for_crossover,excess_vertex_bytes_ms,excess_vertex_bytes_vs_64,field_calls,full_world_upload_bytes,full_world_upload_ms,grid_duplication,mark_ms_per_edit,mixed16_coarse_activations,mixed16_coarse_cells,mixed16_coarse_chunks,mixed16_granularity_ms,mixed16_speedup,mixed16_steady_speedup,mixed_arena_granularity_ms,mixed_coarse_activations,mixed_coarse_cells,mixed_coarse_chunks,mixed_edit_ms_per_edit,mixed_fine_cells,mixed_raw_vertices,mixed_speedup_vs_4,mixed_speedup_vs_64,mixed_steady_edit_ms_per_edit,mixed_steady_granularity_ms,mixed_steady_speedup,mixed_stream_ms_per_second,mixed_subdivide_ms_total,mixed_subdivide_upload_ms_total,mixed_visible_chunk_changes,normal_stencil,remesh_ms_per_edit,stream_arena_ms_per_second,stream_bytes_ms_per_second,stream_frames_uploading,stream_full_world_uploads_per_second,stream_overhead_ms_per_second,stream_units,stream_upload_bytes_per_second,stream_upload_ms_per_second,stream_writes,total_arena_ms,triangles,upload_arena_ms,upload_dirty_bytes_per_edit,upload_dirty_ms_per_edit,upload_roundtrip_verified,upload_share_of_total,visible_chunk_enters,visible_chunk_exits,weld_pays,weld_saves_upload_ms,weld_saves_upload_ms_measured,welded_upload_bytes,welded_upload_ms,welded_vertices,welded_vertices_removed,world_cells
gyroid,2,0.1,0.088998,45.044218,96.590597,45.133216,117490,53110,2.212201,0.572216,30.368729,0.313752,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,23.833547,0.399784,0.402865,24.476643,7,64,8,18.101382,4,80258,0.944180,0.313752,2.628298,28.821421,0.330597,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,28.050339,104518,27.961342,36466,1.686449,true,99.802811,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,0.2,0.177996,45.212863,96.590597,45.390859,117490,53110,2.212201,0.572216,32.178867,0.430082,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,24.285094,0.569879,0.578566,26.223815,7,64,8,18.101382,4,80258,0.899053,0.430082,2.628298,29.084251,0.475844,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,28.265819,104518,28.087823,36466,1.686449,true,99.607860,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,0.5,0.444989,45.718797,96.590597,46.163787,117490,53110,2.212201,0.572216,37.609282,0.711885,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,25.639736,1.044218,1.082713,31.465332,7,64,8,18.101382,4,80258,0.789735,0.711885,2.628298,29.872740,0.896251,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,28.912257,104518,28.467268,36466,1.686449,true,99.036064,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,1,0.889979,46.562022,96.590597,47.452001,117490,53110,2.212201,0.572216,46.659973,0.664084,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,27.897472,1.110714,1.188379,40.201193,7,64,8,18.101382,4,80258,0.664084,1.035791,2.628298,31.186889,0.993563,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,29.989654,104518,29.099675,36466,1.686449,true,98.124465,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,2,1.779958,48.248471,96.590597,50.028428,117490,53110,2.212201,0.572216,64.761356,0.518143,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,32.412945,1.035255,1.166482,57.672915,7,64,8,18.101382,4,80258,0.518143,1.411999,2.628298,33.815187,0.992325,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,32.144448,104518,30.364490,36466,1.686449,true,96.442108,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,5,4.449894,53.307818,96.590597,57.757712,117490,53110,2.212201,0.572216,119.065502,0.346568,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,45.959362,0.897842,1.119991,110.088083,7,64,8,18.101382,4,80258,0.346568,1.854291,2.628298,41.700081,0.989548,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,38.608830,104518,34.158935,36466,1.686449,true,92.295584,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,10,8.899788,61.740062,96.590597,70.639850,117490,53110,2.212201,0.572216,209.572414,0.258201,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,68.536724,0.789532,1.075681,197.446695,7,64,8,18.101382,4,80258,0.258201,2.082083,2.628298,54.841571,0.986695,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,49.382799,104518,40.483011,36466,1.686449,true,87.401179,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,12.5,11.124735,65.956184,96.590597,77.080920,117490,53110,2.212201,0.572216,254.825869,0.237557,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,79.825405,0.758352,1.061370,241.126001,7,64,8,18.101382,4,80258,0.237557,2.135300,2.628298,61.412316,0.985726,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,54.769784,104518,43.645049,36466,1.686449,true,85.567459,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,20,17.799576,78.604551,96.590597,96.404128,117490,53110,2.212201,0.572216,390.586236,0.204327,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,113.691447,0.701963,1.033404,372.163920,7,64,8,18.101382,4,80258,0.204327,2.220962,2.628298,81.124551,0.983762,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,70.930738,104518,53.131162,36466,1.686449,true,81.536500,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
gyroid,2,50,44.498941,129.198018,96.590597,173.696959,117490,53110,2.212201,0.572216,933.627705,0.168047,64990,true,true,false,NVIDIA_GeForce_RTX_3090,Vulkan,31.5,true,false,8586756,5.099342,1.683895,262144,8586756,1.172481,7.323576,4200056,0.410188,0.004834,20.6877,2.576428,11,31.0316,0.130652,666240,7760844,4073976,2.187090,3.375000,0.449468,26,16,512,249.155618,0.629699,0.993021,896.315593,7,64,8,18.101382,4,80258,0.168047,2.314485,2.628298,159.973491,0.980745,28.558591,162.435338,7.768589,15305,6,0.440511,27.834860,1.198383,32,1.500000,43.677190,12998,6110964,44.875573,38994,135.574555,104518,91.075615,36466,1.686449,true,74.381278,38994,25996,false,0.303286,1.710726,2527416,0.476364,53098,64392,128
