# experiment P-94 (R-094)
# hypothesis: NO PEER-REVIEWED PAPER MEASURES BANDWIDTH OR STORAGE FOR A DESTRUCTIBLE WORLD. Voxel Plugin and Godot Voxel Tools both document edit-replication designs with no numbers; the only public datum anywhere is Teardown's ~1 Mbit per client, from a blog post, and their reason for replicating COMMANDS rather than voxels is stated directly: 'commands are the same regardless of object size'. The 08-11 doc estimates 100k operations x 48 B = 4.80 MB against 1.7 GB per-voxel, from CALM; that is an ESTIMATE, not a measurement, and the crate now has the machinery to make it one. SCOPE, stated at registration because BACKLOG.md closes networked editing out and that is not being reopened: this measures the EDIT LOG, which the crate owns, which is what a save file is, and which undo rewinds. No sockets, no clock, no session model. (C1) A one-hour game_dig session at the throttled 12.5 strokes per second produces an edit log under 2 MB uncompressed, and the per-edit cost is CONSTANT in world size and in chunk granularity -- the property that makes the log the right representation. (C2) Coaxial and nested edits collapse: a tunnel dug as 200 overlapping capsules along one axis compresses under max to fewer than 40 surviving brushes, reproducing x41's survivor arithmetic (1,507 to 73) on a realistic trace rather than a fixture. (C3) Entropy-coding the log beats a general-purpose compressor by at least 2x, because brush parameters are strongly correlated along a stroke. SHARE: this measures sizes and moves nothing.
# falsified by: C1 by either half -- size growth with world size would mean the log is carrying position precision it does not need. C2 by fewer than 3x collapse, which would mean the log grows with play time in a way trimming cannot fix. C3 by under 2x, which means zstd is the answer and no bespoke format is worth writing. VACUITY CONTROL: the trace must be a real session capture rather than a synthetic sweep, and the coaxial arm must actually overlap -- reported as the pairwise- intersection count -- or C2 is compressing disjoint brushes.
# commit 782188c on amd-ryzen-9-5900x-12-core at 2026-08-28T01:13:15Z
session_minutes,strokes,edits,bytes_uncompressed,bytes_per_edit,world_cells,chunk_cells,bytes_per_edit_at_other_world_size,coaxial_brushes,surviving_brushes,collapse_ratio,overlapping_pairs,bytes_zstd,bytes_entropy_coded,compression_advantage,c1_holds,c2_holds,c3_holds,bytes_at_43200_edits,bytes_entropy_first_order,bytes_per_edit_in_memory,bytes_zstd_level3,bytes_zstd_of_deltas,c1_constancy_holds,c1_size_holds,cell_size,closed_loop_edits,coaxial_axial_length,coaxial_delta,coaxial_delta_over_radius,coaxial_grid_samples,coaxial_hash_verified,coaxial_merge_deviation_cells,coaxial_merge_hash_equal,coaxial_merge_ratio,coaxial_merged_brushes,coaxial_necessary_leave_one_out,coaxial_radius,coaxial_triangles,dirty_chunks_per_edit,distinct_radii,edits_bore,edits_chamber,edits_relocate,edits_sweep,entropy_bytes_over_teardown,entropy_bytes_per_edit,entropy_roundtrip_ok,gate_refusals_distance,gate_refusals_nohit,hour_bytes_over_estimate,hour_bytes_over_teardown,lens_cells_drop_1,lens_cells_drop_4,mean_aim_step,mean_aim_step_over_radius,nohit_bore,nohit_chamber,nohit_relocate,nohit_sweep,position_bits_needed,quantum,sandbox_extent,session_nested_dropped,session_nested_fraction,strokes_nominal_12_5,sweep_control_advantage,sweep_control_closed_loop,sweep_control_edits,sweep_control_entropy,sweep_control_zstd,trace_span_cells,wobble_bow_cells,wobble_dev_cells_k1,wobble_dev_cells_k10,wobble_dev_cells_k2,wobble_dev_cells_k20,wobble_dev_cells_k200,wobble_dev_cells_k5,wobble_dev_cells_k50,wobble_runs_k2,wobble_yaw_rate,zstd_deltas_over_entropy
60.0,211320,1169,19873,17.000000,64,16,17.000000,200,200,1.000000,492,9412,6637,1.418111,true,false,false,734400,6382,32,9404,9196,true,true,0.125000,1128,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,4.073567,3,145,586,386,52,0.053096,5.677502,true,0,210151,0.004140,0.158984,0.267949,2.000000,1.883505,7.534021,48389,50516,56050,55196,15,0.000244141,8.000,68,0.058169,45000,11.947167,0,6207,2347,28040,92.422,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.385566
60.0,191168,6207,105519,17.000000,128,16,17.000000,200,200,1.000000,492,50173,35074,1.430490,true,false,false,734400,33723,32,50630,48974,true,true,0.125000,6068,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,4.407604,3,504,3900,1129,674,0.280592,5.650717,true,116,184845,0.021983,0.844152,0.267949,2.000000,2.375788,9.503153,53949,29390,54703,46803,16,0.000244141,16.000,127,0.020461,45000,11.947167,0,6207,2347,28040,184.477,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.396305
60.0,135600,20099,341683,17.000000,256,16,17.000000,200,200,1.000000,492,157564,106206,1.483570,true,false,false,734400,102924,32,162335,151387,true,true,0.125000,19469,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,3.748594,3,4277,6828,5744,3250,0.849648,5.284143,true,146,115355,0.071184,2.733464,0.267949,2.000000,1.573249,6.292994,29343,18133,30521,37358,17,0.000244141,32.000,426,0.021195,45000,11.947167,0,6207,2347,28040,367.953,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.425409
60.0,120128,23967,407439,17.000000,512,16,17.000000,200,200,1.000000,492,190553,124268,1.533404,true,false,false,734400,120916,32,196950,177348,true,true,0.125000,23156,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,3.761505,3,5856,7890,5864,4357,0.994144,5.184963,true,362,95799,0.084883,3.259512,0.267949,2.000000,1.464872,5.859489,25814,17753,19197,33035,18,0.000244141,64.000,530,0.022114,45000,11.947167,0,6207,2347,28040,735.552,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.427141
60.0,118340,24414,415038,17.000000,1024,16,17.000000,200,200,1.000000,492,189807,123732,1.534017,true,false,false,734400,121001,32,207354,176682,true,true,0.125000,23623,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,3.593389,3,7183,6807,7073,3351,0.989856,5.068076,true,281,93645,0.086466,3.320304,0.267949,2.000000,1.474157,5.896628,21392,15077,25429,31747,19,0.000244141,128.000,649,0.026583,45000,11.947167,0,6207,2347,28040,890.721,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.427941
60.0,191168,6207,105519,17.000000,128,2,17.000000,200,200,1.000000,492,50173,35074,1.430490,true,false,false,734400,33723,32,50630,48974,true,true,0.125000,6068,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,229.308523,3,504,3900,1129,674,0.280592,5.650717,true,116,184845,0.021983,0.844152,0.267949,2.000000,2.375788,9.503153,53949,29390,54703,46803,16,0.000244141,16.000,127,0.020461,45000,11.947167,0,6207,2347,28040,184.477,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.396305
60.0,191168,6207,105519,17.000000,128,4,17.000000,200,200,1.000000,492,50173,35074,1.430490,true,false,false,734400,33723,32,50630,48974,true,true,0.125000,6068,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,44.644273,3,504,3900,1129,674,0.280592,5.650717,true,116,184845,0.021983,0.844152,0.267949,2.000000,2.375788,9.503153,53949,29390,54703,46803,16,0.000244141,16.000,127,0.020461,45000,11.947167,0,6207,2347,28040,184.477,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.396305
60.0,191168,6207,105519,17.000000,128,8,17.000000,200,200,1.000000,492,50173,35074,1.430490,true,false,false,734400,33723,32,50630,48974,true,true,0.125000,6068,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,11.254712,3,504,3900,1129,674,0.280592,5.650717,true,116,184845,0.021983,0.844152,0.267949,2.000000,2.375788,9.503153,53949,29390,54703,46803,16,0.000244141,16.000,127,0.020461,45000,11.947167,0,6207,2347,28040,184.477,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.396305
60.0,191168,6207,105519,17.000000,128,32,17.000000,200,200,1.000000,492,50173,35074,1.430490,true,false,false,734400,33723,32,50630,48974,true,true,0.125000,6068,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,2.406315,3,504,3900,1129,674,0.280592,5.650717,true,116,184845,0.021983,0.844152,0.267949,2.000000,2.375788,9.503153,53949,29390,54703,46803,16,0.000244141,16.000,127,0.020461,45000,11.947167,0,6207,2347,28040,184.477,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.396305
60.0,191168,6207,105519,17.000000,128,64,17.000000,200,200,1.000000,492,50173,35074,1.430490,true,false,false,734400,33723,32,50630,48974,true,true,0.125000,6068,50.000000,0.250000,1.000000,69797,true,5.684e-14,false,200.000000,1,200,0.250000,18640,1.702755,3,504,3900,1129,674,0.280592,5.650717,true,116,184845,0.021983,0.844152,0.267949,2.000000,2.375788,9.503153,53949,29390,54703,46803,16,0.000244141,16.000,127,0.020461,45000,11.947167,0,6207,2347,28040,184.477,8.328517,0.000000,0.020833,0.000833,0.083333,8.328517,0.005000,0.520815,100,0.010000,1.396305
