# experiment P-95 (R-095)
# hypothesis: THE 08-11 DOC NAMES THIS GAP IN ONE LINE: 'out-of-order arrival forces a re-fold from checkpoint; needs checkpoint cadence measured.' It is also the feature a volumetric editor is unusable without, and game_editor exists. M-50 already measured the fold's cost curve -- 0.158, 0.354, 0.525 and 0.589 ms for logs of 1-15, 16-30, 31-45 and 46-60 brushes -- so the cadence should be DERIVABLE rather than tuned, and that is what makes this a prediction rather than an implementation. (C1) Undoing the last edit costs strictly less than re-folding from a checkpoint whenever fewer than N edits separate them, and N is measurable and STABLE ACROSS FIELDS. (C2) M-50's cost curve gives the cadence directly: checkpoints every k edits hold worst-case undo under 16 ms, and k FALLS OUT OF the 0.158 / 0.354 / 0.525 / 0.589 ms bucket measurements rather than being tuned. (C3) Undo is BIT-EXACT: undoing then redoing an edit returns the golden hash to its previous value, over a 10^3-edit trace with interleaved undo. SHARE: C2 is denominated in a frame, which is the budget undo has to fit in.
# falsified by: C1 by no crossover, which would mean undo is always a re-fold and the checkpoint cadence is the only knob. C2 by a k that does not predict from M-50 -- i.e. undo cost is not the same function as evaluation cost, which would be a finding about the fold rather than about undo. C3 by one mismatch, which would mean the log is not a faithful history and the save format is lossy. VACUITY CONTROL: the interleaved-undo trace must include undos that cross a checkpoint boundary, reported as a count, or C3 tests only the cheap path.
# commit 664c88e on amd-ryzen-9-5900x-12-core at 2026-08-28T01:16:55Z
field,edits,checkpoint_every_k,undo_ms,refold_ms,crossover_n,crossover_stable_across_fields,predicted_k_from_m50,measured_k,worst_undo_ms,undos_crossing_checkpoint,hash_mismatches,c1_holds,c2_holds,c3_holds,bucket1_ms_per_chunk,bucket1_ratio_to_m50,bucket2_ms_per_chunk,bucket2_ratio_to_m50,bucket3_ms_per_chunk,bucket3_ratio_to_m50,bucket4_ms_per_chunk,bucket4_ratio_to_m50,bucket_ratio_spread,bucket_sample_counts,c2_budget_cadence,c2_budget_worst_undo_ms,cell_size,checkpoint_rebuild_mismatches,checkpoint_rebuilds,checkpoints_built,chunk_cells,cp_vs_log_checks,cp_vs_log_hash_mismatches,cp_vs_log_normal_mismatches,cp_vs_log_normals_compared,cp_vs_log_position_mismatches,cpu_mhz,crossings_regular_only,crossover_direction,crossover_margin_edits_past_log,crossover_n_fitted,crossover_search_dmax,crossover_sweep_chunks,curve_edits,curve_empty_dirty_edits,empty_dirty_edits,fit_intercept_ms,fit_slope_ms_per_edit,formula_worst_undo_ms,hash_sets_without_geometry,k_ratio,k_ratio_m50_over_trace,log_add,log_smooth_add,log_subtract,m50_fit_intercept_ms,m50_fit_slope_ms_per_edit,max_normal_dev_deg,measured_k_from_trace,normal_dev_p50_deg,normal_dev_p99_deg,peak_checkpoint_bytes,refold_fit_intercept_ms,refold_fit_slope_ms_per_edit,refold_ms_at_d0,refold_ms_at_d1,refold_ms_at_d16,refold_ms_at_d2,refold_ms_at_d32,refold_ms_at_d4,refold_ms_at_d64,refold_ms_at_d8,refold_ms_at_dmax,reps,scalar,undo_over_refold_at_k,undos_total,world_cells,world_hash_checks,worst_dirty_chunks_curve,worst_refold_depth,worst_undo_chunks
sphere_r1_2,1000,4,37.794889,2.571252,0,none_on_all_fields,193.8,52.4,3.266379,51,0,false,false,true,0.257339,1.6287,0.935731,2.6433,1.416272,2.6977,2.022578,3.4339,2.1083,15+15+15+15,32,9.798835,0.125,0,51,250,16,9,9,56446,60119,0,4196.969,47,none_undo_never_wins,40.95,167.95,127,8,128,0,0,-0.016525,0.03850837,0.791997,0,3.7003,6.0553,250,250,500,0.108820,0.00976000,179.130641,32,6.438214,107.001366,236239192,2.191761,0.211983,2.319771,2.404311,5.707740,2.516222,9.106689,3.114587,15.960809,4.014135,28.999413,3,f64,14.6990,203,48,3,8,3,8
sphere_r1_2,1000,8,37.794889,3.440399,0,none_on_all_fields,193.8,52.4,4.385328,26,0,false,false,true,0.257339,1.6287,0.935731,2.6433,1.416272,2.6977,2.022578,3.4339,2.1083,15+15+15+15,32,9.798835,0.125,0,26,125,16,9,9,53292,60119,0,4196.969,22,none_undo_never_wins,40.95,167.95,127,8,128,0,0,-0.016525,0.03850837,2.024265,0,3.7003,6.0553,250,250,500,0.108820,0.00976000,179.130641,32,5.362860,104.466591,118590192,2.191761,0.211983,2.319771,2.404311,5.707740,2.516222,9.106689,3.114587,15.960809,4.014135,28.999413,3,f64,10.9856,203,48,3,8,7,8
sphere_r1_2,1000,16,37.794889,5.198946,0,none_on_all_fields,193.8,52.4,6.155014,16,0,false,false,true,0.257339,1.6287,0.935731,2.6433,1.416272,2.6977,2.022578,3.4339,2.1083,15+15+15+15,32,9.798835,0.125,0,16,62,16,9,9,32616,39611,0,4196.969,12,none_undo_never_wins,40.95,167.95,127,8,128,0,0,-0.016525,0.03850837,4.488801,0,3.7003,6.0553,250,250,500,0.108820,0.00976000,179.130641,32,5.035994,105.794079,59295096,2.191761,0.211983,2.319771,2.404311,5.707740,2.516222,9.106689,3.114587,15.960809,4.014135,28.999413,3,f64,7.2697,203,48,3,8,15,8
sphere_r1_2,1000,32,37.794889,8.590825,0,none_on_all_fields,193.8,52.4,9.798835,10,0,false,false,true,0.257339,1.6287,0.935731,2.6433,1.416272,2.6977,2.022578,3.4339,2.1083,15+15+15+15,32,9.798835,0.125,0,10,31,16,6,6,22578,31691,0,4196.969,6,none_undo_never_wins,40.95,167.95,127,8,128,0,0,-0.016525,0.03850837,9.417873,0,3.7003,6.0553,250,250,500,0.108820,0.00976000,179.033711,32,2.838096,101.696203,30118144,2.191761,0.211983,2.319771,2.404311,5.707740,2.516222,9.106689,3.114587,15.960809,4.014135,28.999413,3,f64,4.3994,203,48,3,8,31,8
sphere_r1_2,1000,64,37.794889,15.454644,0,none_on_all_fields,193.8,52.4,17.707403,6,0,false,false,true,0.257339,1.6287,0.935731,2.6433,1.416272,2.6977,2.022578,3.4339,2.1083,15+15+15+15,32,9.798835,0.125,0,6,15,16,4,4,8218,18746,0,4196.969,2,none_undo_never_wins,40.95,167.95,127,8,128,0,0,-0.016525,0.03850837,19.276016,0,3.7003,6.0553,250,250,500,0.108820,0.00976000,179.033711,32,0.000001,88.886671,15059072,2.191761,0.211983,2.319771,2.404311,5.707740,2.516222,9.106689,3.114587,15.960809,4.014135,28.999413,3,f64,2.4455,203,48,3,8,63,8
sphere_r1_2,1000,128,37.794889,28.999413,0,none_on_all_fields,193.8,52.4,33.162278,5,0,false,false,true,0.257339,1.6287,0.935731,2.6433,1.416272,2.6977,2.022578,3.4339,2.1083,15+15+15+15,32,9.798835,0.125,0,5,7,16,4,4,2441,15719,0,4196.969,1,none_undo_never_wins,40.95,167.95,127,8,128,0,0,-0.016525,0.03850837,38.992302,0,3.7003,6.0553,250,250,500,0.108820,0.00976000,176.886444,32,0.000000,43.635634,7529536,2.191761,0.211983,2.319771,2.404311,5.707740,2.516222,9.106689,3.114587,15.960809,4.014135,28.999413,3,f64,1.3033,203,48,3,8,127,8
gyroid,1000,4,41.989604,2.933628,0,none_on_all_fields,193.8,38.6,3.753936,51,0,false,false,true,0.600637,3.8015,1.254039,3.5425,1.904093,3.6268,2.727439,4.6306,1.3072,15+15+15+15,32,11.671141,0.125,0,51,250,16,9,9,87459,90302,0,4196.969,47,none_undo_never_wins,38.50,165.50,127,7,128,0,0,0.192025,0.04686973,2.661075,0,5.0232,6.0553,250,250,500,0.108820,0.00976000,175.838227,32,3.280564,96.425019,236239192,2.504465,0.238575,2.643845,2.742796,6.440101,2.853617,10.282049,3.533064,17.995383,4.539944,32.537644,3,f64,14.3132,203,48,3,8,3,8
gyroid,1000,8,41.989604,3.919367,0,none_on_all_fields,193.8,38.6,4.838186,26,0,false,false,true,0.600637,3.8015,1.254039,3.5425,1.904093,3.6268,2.727439,4.6306,1.3072,15+15+15+15,32,11.671141,0.125,0,26,125,16,9,9,84502,90302,0,4196.969,22,none_undo_never_wins,38.50,165.50,127,7,128,0,0,0.192025,0.04686973,4.160906,0,5.0232,6.0553,250,250,500,0.108820,0.00976000,175.838227,32,2.701312,95.293278,118590192,2.504465,0.238575,2.643845,2.742796,6.440101,2.853617,10.282049,3.533064,17.995383,4.539944,32.537644,3,f64,10.7134,203,48,3,8,7,8
gyroid,1000,16,41.989604,5.890126,0,none_on_all_fields,193.8,38.6,7.261970,16,0,false,false,true,0.600637,3.8015,1.254039,3.5425,1.904093,3.6268,2.727439,4.6306,1.3072,15+15+15+15,32,11.671141,0.125,0,16,62,16,9,9,39369,45079,0,4196.969,12,none_undo_never_wins,38.50,165.50,127,7,128,0,0,0.192025,0.04686973,7.160569,0,5.0232,6.0553,250,250,500,0.108820,0.00976000,175.838227,32,3.176826,91.168906,59295096,2.504465,0.238575,2.643845,2.742796,6.440101,2.853617,10.282049,3.533064,17.995383,4.539944,32.537644,3,f64,7.1288,203,48,3,8,15,8
gyroid,1000,32,41.989604,9.746514,0,none_on_all_fields,193.8,38.6,11.671141,10,0,false,false,true,0.600637,3.8015,1.254039,3.5425,1.904093,3.6268,2.727439,4.6306,1.3072,15+15+15+15,32,11.671141,0.125,0,10,31,16,6,6,31738,41181,0,4196.969,6,none_undo_never_wins,38.50,165.50,127,7,128,0,0,0.192025,0.04686973,13.159894,0,5.0232,6.0553,250,250,500,0.108820,0.00976000,174.590276,32,1.402309,89.239499,30118144,2.504465,0.238575,2.643845,2.742796,6.440101,2.853617,10.282049,3.533064,17.995383,4.539944,32.537644,3,f64,4.3082,203,48,3,8,31,8
