# experiment P-96 (R-096)
# hypothesis: M-38 IS THE MEASUREMENT THAT DECIDES WHETHER SMOOTH BLENDING CAN EVER BE ORDER-FREE, AND IT ONLY COUNTED. Smooth union gives 40,317 distinct results from 40,320 orderings -- against hard union's 1 (M-36) and mixed add/subtract's 11 (M-37). Counting distinct results says the operator is order-dependent. IT DOES NOT SAY THE RESULTS ARE DIFFERENT IN ANY WAY A PLAYER COULD SEE, and that is a completely different question with a completely different consequence: if the spread is sub-voxel then smooth union is effectively commutative at gameplay tolerance even though it is not bit-commutative, and the ordering authority M-38 seemed to demand is not needed. One day, on a fixture that already exists, and it changes a protocol decision. (C1) Across all 40,320 orderings of the eight-brush fixture, the MAXIMUM symmetric Hausdorff distance between any two resulting meshes is under 0.1 cells. (C2) The spread SCALES WITH the blend radius k and vanishes as k approaches 0, recovering M-36's exact commutativity in the limit -- so k is the knob, and there is a k below which smooth union is gameplay- commutative. (C3) The spread is SPATIALLY CONFINED to within 10k of a seam between two brushes, matching the |smin_k - min| <= k*ln(n) bound the 2026-08-23 memo derived and measured at max deviation 0.135 against a bound of 0.208. SHARE: this measures a distance, not a ratio.
# falsified by: C1 by above 0.1 cells, which confirms M-38's implication and means smooth-union edits carry a hard ordering requirement. C2 by a spread that does not fall with k, which would mean the order-dependence is not the blend and is something else entirely. C3 by spread outside that shell, which would mean the bound does not localise and the memo's k-as-a-length interpretation is wrong. VACUITY CONTROL: M-38's own fixture is inherited and its 40,320 orderings must all be reached, asserted by count -- and the three orderings that COINCIDE in M-38 must still coincide here, or the harness is not reproducing M-38.
# commit a02b6b5 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:31:49Z
blend_radius_k,orderings,distinct_results,coincident_orderings,max_hausdorff_cells,mean_hausdorff_cells,p99_hausdorff_cells,spread_vs_k_slope,max_deviation_from_seam_cells,shell_10k_cells,points_outside_shell,c1_holds,c2_holds,c3_holds,active_samples,base_half_extent,blended_samples,boundary_min_world,cell_size_world,coincident_groups,deviation_bound_kln9_world,deviation_bound_poly_world,exact_pairs_sampled,fixture,grid_cells,grid_index_roundtrip,grid_samples,inside_shell_with_spread,largest_coincident_group,max_deviation_cells,max_deviation_world,max_hausdorff_bound_cells,max_hausdorff_to_ref_cells,max_hausdorff_to_ref_world,max_spread_cells,max_spread_outside_shell_world,max_spread_world,max_vertices,min_margin_cells,min_margin_world,outside_shell_population,ref_triangles,ref_vertices,sign_flips,spread_floor_world,spread_vs_k_slope_field,stack_agreement,subset_orderings,topology_changes
0.000000000,40320,1,40319,0.000000000,0.000000000,0.000000000,0.000000,0.000000,0.000000,0,vacuous,vacuous,vacuous,0,1.0000,0,0.250000,0.078125000,1,0.000000,0.000000,8001,m38,32,35937,35937,0,40320,0.000000,0.000000e0,0.000000000,0.000000000,0.000000e0,0.000000000,0.000e0,0.000000e0,3750,2.316493,0.180976,35937,7496,3750,0,1e-12,0.000000,64,127,0
0.000001000,40320,40317,3,0.000000000,0.000000000,0.000000000,0.000000,0.000000,0.000128,0,vacuous,vacuous,vacuous,0,1.0000,0,0.250000,0.078125000,3,0.000002,0.000002,8128,m38,32,35937,35937,0,2,0.000000,7.771561e-16,0.000000000,0.000000000,2.220446e-16,0.000000000,1.554e-15,1.554312e-15,3750,2.316493,0.180976,35937,7496,3750,0,1e-12,0.000000,64,128,0
0.001000000,40320,40317,3,0.000000000,0.000000000,0.000000000,0.000000,0.000000,0.128000,0,vacuous,vacuous,vacuous,0,1.0000,0,0.250000,0.078125000,3,0.002197,0.002000,8128,m38,32,35937,35937,0,2,0.000000,7.771561e-16,0.000000000,0.000000000,2.220446e-16,0.000000000,1.554e-15,1.554312e-15,3750,2.316493,0.180976,35937,7496,3750,0,1e-12,0.000000,64,128,0
0.010000000,40320,40317,3,0.000000000,0.000000000,0.000000000,0.000000,0.000000,1.280000,0,vacuous,vacuous,vacuous,0,1.0000,0,0.250000,0.078125000,3,0.021972,0.020000,8128,m38,32,35937,35937,0,2,0.000000,7.771561e-16,0.000000000,0.000000000,2.220446e-16,0.000000000,1.554e-15,1.554312e-15,3750,2.316493,0.180976,35937,7496,3750,0,1e-12,0.000000,64,128,0
0.037500000,40320,40317,3,0.000000000,0.000000000,0.000000000,0.000000,0.000000,4.800000,0,vacuous,vacuous,vacuous,0,1.0000,0,0.250000,0.078125000,3,0.082396,0.075000,8128,m38,32,35937,35937,0,2,0.000000,7.771561e-16,0.000000000,0.000000000,2.220446e-16,0.000000000,1.554e-15,1.554312e-15,3750,2.316493,0.180976,33235,7496,3750,0,1e-12,0.000000,64,128,0
0.075000000,40320,40317,3,0.000000000,0.000000000,0.000000000,0.000000,0.000000,9.600000,0,vacuous,vacuous,vacuous,0,1.0000,0,0.250000,0.078125000,3,0.164792,0.150000,8128,m38,32,35937,35937,0,2,0.000000,7.771561e-16,0.000000000,0.000000000,2.220446e-16,0.000000000,1.221e-15,1.554312e-15,3750,2.316493,0.180976,6009,7496,3750,0,1e-12,0.000000,64,128,0
0.150000000,40320,40317,3,0.000000000,0.000000000,0.000000000,0.000000,0.000000,19.200000,0,vacuous,vacuous,vacuous,0,1.0000,0,0.250000,0.078125000,3,0.329584,0.300000,8128,m38,32,35937,35937,0,2,0.000000,7.771561e-16,0.000000000,0.000000000,2.220446e-16,0.000000000,0.000e0,1.554312e-15,3750,2.316493,0.180976,0,7496,3750,0,1e-12,0.000000,64,128,0
0.300000000,40320,40317,3,0.000000000,0.000000000,0.000000000,0.000000,0.000000,38.400000,0,vacuous,vacuous,vacuous,0,1.0000,777,0.238194,0.078125000,3,0.659167,0.600000,8128,m38,32,35937,35937,0,2,0.151112,1.180559e-2,0.000000000,0.000000000,2.220446e-16,0.000000000,0.000e0,1.554312e-15,3750,2.316493,0.180976,0,7496,3750,0,1e-12,0.000000,64,128,0
0.000000000,40320,1,40319,0.000000000,0.000000000,0.000000000,2.519871,0.000000,0.000000,0,vacuous,true,vacuous,0,0.3500,0,0.180651,0.062500000,1,0.000000,0.000000,8001,m38_exposed,32,35937,35937,0,40320,0.000000,0.000000e0,0.000000000,0.000000000,0.000000e0,0.000000000,0.000e0,0.000000e0,2074,0.000000,0.000000,35936,4144,2074,0,1e-12,1.287781,64,127,0
0.000001000,40320,31798,8522,0.000000000,0.000000000,0.000000000,2.519871,0.000000,0.000160,0,vacuous,true,vacuous,0,0.3500,2,0.180651,0.062500000,6239,0.000002,0.000002,8128,m38_exposed,32,35937,35937,0,13,0.000004,2.500000e-7,0.000000000,0.000000000,4.940492e-15,0.000000000,6.106e-16,6.106227e-16,2074,0.000000,0.000000,35934,4144,2074,0,1e-12,1.287781,64,128,0
