# experiment P-98 (R-098)
# hypothesis: M-378 NAMED THIS AND EXPLICITLY REFUSED TO SUBSTITUTE IT FOR THE VERDICT. The Plantinga-Vegter predicate costs 21% of extraction standalone, against a registered 5% ceiling -- but the BARE EIGHT- CORNER GATHER IS 0.51 ms ON EVERY SINGLE ARM, and two thirds of the standalone cost is re-reading corners the extractor has already read. A version fused into the extractor's existing gather would pay 0.0658, which is still above 5% but by 1.3 points rather than 16. The entry states that as a number and files nothing. This is that ticket. (C1) Fused into the extraction gather, the predicate costs AT MOST 0.0658 of extraction at 65^3 on all eight fields -- the figure M-378 derived, used as a bar rather than a target. (C2) The certification result is IDENTICAL to the standalone predicate on all 25 rows of p-62.csv plus the 400,000-cell random arm -- same certified set, same zero unsound. (C3) At 0.0658 it is shippable as a default rather than a debug gate: the certified fraction is reportable per chunk at NO EXTRA PASS, and a consumer can read 'this chunk is 87% certified' from the existing report. SHARE: C1 is a share of extraction, which is exactly how M-378 stated it.
# falsified by: C1 by above 0.0658, which would mean the derivation double-counted something and the fused cost has a term the decomposition missed. C2 by any difference, which would mean fusing changed the arithmetic and the soundness proof does not carry over. C3 by needing a second pass to aggregate, which puts it back above the ceiling. VACUITY CONTROL: the random arm from p-62.csv is inherited verbatim -- 2,202 tunnel and 180 twelve-vertex cells -- because the eight reference fields alone gave seven tunnel cells in 172,032, which M-378 itself called 'a hair from M-44's vacuous zero'.
# commit 0527d48 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:32:12Z
field,resolution,fused_predicate_ms,standalone_predicate_ms,bare_gather_ms,extract_ms,fused_share,standalone_share,certified_cells_fused,certified_cells_standalone,set_difference,unsound_certificates,tunnel_cells,twelve_vertex_cells,extra_passes,c1_holds,c2_holds,c3_holds,active_cells,bar,bar_budget_ms,c1_holds_upper_bound,cells,cells_visited,certified_active_fused,chunk_active_sum,chunk_cells,chunk_certified_sum,chunk_edge_cells,chunked_fused_ms,chunks,clause_one_margin_ms,clause_two_evals,clause_two_ns_per_cell,cpu_mhz,extra_passes_shipped_api,floor_share,forced_margin_ms,fused_predicate_median_ms,fused_share_upper,fused_share_vs_signs,fused_vs_signs_ms,global_fraction,hidden_population,isotopy_report_ms,loads_extraction,loads_fused_additional,loads_standalone_additional,mean_chunk_fraction,modelled_marginal_ms,modelled_share,mutant_set_difference,refused_cells,reps,resolution_floor_ms,sweeps,unsound_fused,unsound_if_certify_all,unsound_mutant,unsound_standalone,walk_case_ms,walk_forced_ms,walk_fused_ms,walk_signs_ms
sphere,17,0.0036,0.0120,0.0081,0.0513,0.070768,0.233874,4096,4096,0,0,0,0,0,true,true,true,272,0.0658,0.0034,true,4096,4096,272,272,512,272,8,0.0217,8,0.0020,272,11.3525,4200.1,1,0.000051,0.0465,0.0037,0.070818,0.237373,0.0122,1.000000,2389,0.0179,32768,0,32768,1.000000,0.0051,0.099327,0,0,25,0.0000,73,0,0,0,0,0.0160,0.0625,0.0196,0.0074
torus,17,0.0044,0.0123,0.0090,0.0648,0.067301,0.189280,4096,4096,0,0,0,0,0,true,true,true,328,0.0658,0.0043,true,4096,4096,328,328,512,328,8,0.0226,8,0.0020,328,11.3720,4200.1,1,0.000125,0.0466,0.0045,0.067426,0.199096,0.0129,1.000000,2389,0.0182,32768,0,32768,1.000000,0.0057,0.088612,0,0,25,0.0000,73,0,0,0,0,0.0160,0.0625,0.0203,0.0074
box_exact,17,0.0041,0.0122,0.0090,0.0499,0.081789,0.243747,4016,4016,0,0,0,0,0,true,true,true,296,0.0658,0.0033,true,4096,4096,216,296,512,216,8,0.0222,8,0.0020,296,11.7423,4200.1,1,0.000047,0.0481,0.0041,0.081836,0.252689,0.0126,0.729730,2389,0.0179,32768,0,32768,0.729730,0.0055,0.109948,72,80,25,0.0000,73,0,0,0,0,0.0160,0.0641,0.0200,0.0074
csg_difference,17,0.0041,0.0123,0.0081,0.0597,0.068512,0.205454,4005,4005,0,0,0,0,0,true,true,true,296,0.0658,0.0039,true,4096,4096,205,296,512,205,8,0.0222,8,0.0020,296,11.7183,4200.1,1,0.000048,0.0480,0.0041,0.068560,0.211475,0.0126,0.692568,2389,0.0180,32768,0,32768,0.702685,0.0055,0.091854,59,91,25,0.0000,73,0,0,0,0,0.0160,0.0640,0.0200,0.0074
thin_plate,17,0.0024,0.0115,0.0081,0.0417,0.056623,0.276369,4096,4096,0,0,0,0,0,true,true,true,128,0.0658,0.0027,true,4096,4096,128,128,512,128,8,0.0204,8,0.0020,128,11.5656,4200.1,1,0.000026,0.0474,0.0024,0.056649,0.261394,0.0109,1.000000,2389,0.0175,32768,0,32768,1.000000,0.0035,0.083974,0,0,25,0.0000,73,0,0,0,0,0.0160,0.0633,0.0183,0.0074
gyroid,17,0.0127,0.0147,0.0081,0.4169,0.030521,0.035306,3912,3912,0,0,0,0,0,true,true,true,1214,0.0658,0.0274,true,4096,4096,1030,1214,512,1030,8,0.0313,8,0.0020,1214,11.5955,4200.1,1,0.000023,0.0475,0.0133,0.030544,0.051007,0.0213,0.848435,2389,0.0212,32768,0,32768,0.851477,0.0161,0.038606,169,184,25,0.0000,73,0,0,0,0,0.0160,0.0635,0.0287,0.0074
fbm_terrain,17,0.0058,0.0127,0.0090,1.0192,0.005661,0.012468,4096,4096,0,0,0,0,0,true,true,true,470,0.0658,0.0671,true,4096,4096,470,470,512,470,8,0.0251,8,0.0020,470,11.1804,4200.0,1,0.000001,0.0458,0.0058,0.005662,0.014040,0.0143,1.000000,2389,0.0187,32768,0,32768,1.000000,0.0073,0.007135,0,0,25,0.0000,73,0,0,0,0,0.0160,0.0618,0.0217,0.0074
noise_cavity,17,0.0124,0.0149,0.0090,0.4052,0.030567,0.036783,3376,3376,0,0,3,0,0,true,true,true,1123,0.0658,0.0267,true,4096,4096,403,1123,512,403,8,0.0307,8,0.0020,1123,11.5211,4196.9,1,0.000011,0.0472,0.0126,0.030579,0.051644,0.0209,0.358860,2389,0.0210,32768,0,32768,0.359143,0.0150,0.036912,82,720,25,0.0000,73,0,3,0,0,0.0160,0.0632,0.0283,0.0074
sphere,33,0.0198,0.0919,0.0635,0.3492,0.056634,0.263046,32768,32768,0,0,0,0,0,true,true,true,1160,0.0658,0.0230,true,32768,32768,1160,1160,512,1160,8,0.1644,64,0.0159,1160,11.3233,4196.6,1,0.000086,0.3710,0.0197,0.056720,0.295584,0.1032,1.000000,2389,0.1350,262144,0,262144,1.000000,0.0291,0.083274,0,0,25,0.0000,9,0,0,0,0,0.1265,0.4976,0.1463,0.0431
torus,33,0.0192,0.0908,0.0714,0.4059,0.047198,0.223736,32768,32768,0,0,0,0,0,true,true,true,1128,0.0658,0.0267,true,32768,32768,1128,1128,512,1128,8,0.1643,64,0.0159,1128,11.3556,4200.1,1,0.000154,0.3721,0.0192,0.047352,0.252627,0.1025,1.000000,2389,0.1332,262144,0,262144,1.000000,0.0287,0.070828,0,0,25,0.0001,9,0,0,0,0,0.1265,0.4986,0.1456,0.0431
