# experiment P-99 (R-099)
# hypothesis: x53 FALSIFIED ALL THREE CLAUSES AND SAID WHAT THE NEXT REGISTRATION SHOULD BE ABOUT. Two candidate reformulations survive the data: the non-monotonic rate AMONG SINGLE-ROOT EDGES -- which ranks thin_plate first and is the only quantity in the run that fails to converge -- and the false-negative count at fixed k, which needs the oracle and is therefore offline. The entry registers neither on purpose: 'Neither is registered, so neither is claimed.' x53's two registration defects are both corrected here rather than repeated: C2's second half asked for a false-positive rate that FALLS with k, which is mechanically impossible because adding a sample point can only add an opportunity to disagree; and C3's metric was taken over ALL grid edges, so it measured how much of the VOLUME has turning gradient rather than how badly the SURFACE is under-resolved, which is why thin_plate -- a thin plate in a mostly-empty box -- ranked eighth. (C1) The non-monotonic rate among SINGLE-ROOT edges ranks thin_plate FIRST of eight at 33^3 and 65^3, where the all-edges rate ranked it eighth. (C2) It FAILS TO CONVERGE on thin_plate and converges on the other seven, reproducing x53's observation that thin_plate's false-positive rate is the only one that rises with resolution (0.3889, 0.4412, 0.4697). That non-convergence is the signal an LOD decision wants. (C3) THE CLAUSE x53 GOT BACKWARDS, STATED CORRECTLY: false NEGATIVES fall with k -- 322, 94, 8, 1, 0 at k in {2,3,5,9,17} -- and false positives are monotone NON-DECREASING in k by construction. Both are asserted in the direction the predicate's form allows. SHARE: this is a rate; it moves nothing and gates the LOD decision M-121 and M-72 both want an input for.
# falsified by: C1 by any other ranking, which would mean the denominator was not the problem and the whole witness family is measuring the volume rather than the surface. C2 by convergence on thin_plate, or by non- convergence on a second field. C3 by a non-monotone false-positive count, which would mean the implementation is not the predicate. VACUITY CONTROL: x53's oracle_samples column is inherited -- 128 intervals -- and the caveat with it: a root pair inside one interval is invisible to both instruments and cannot produce a false negative here, but also cannot be ruled out.
# commit a6a3ed3 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:28:36Z
field,resolution,k,single_root_edges,multi_root_edges,non_monotonic_single_root,rate_single_root,rate_all_edges,rank_single_root,rank_all_edges,converges,false_negatives,false_positives,oracle_samples,c1_holds,c2_holds,c3_holds,converges_strictly,edges,flag_dropped_at_higher_k,flagged_non_monotonic,fn_non_increasing_with_k,fp_moves_with_k,fp_non_decreasing_with_k,nm_single_root_axis_x,nm_single_root_axis_y,nm_single_root_axis_z,non_monotonic_sign_change,oracle_parity_violations,rank1_strict_single_root,rank_sign_change,rate_ever_nonzero,rate_sign_change,sign_change_edges
sphere,17,2,270,0,0,0.000000,0.000000,7,8,true,0,0,128,true,true,true,false,13872,0,0,true,false,true,0,0,0,0,0,true,7,false,0.000000,270
sphere,17,3,270,0,0,0.000000,0.000000,7,8,true,0,0,128,true,true,true,false,13872,0,0,true,false,true,0,0,0,0,0,true,7,false,0.000000,270
sphere,17,5,270,0,0,0.000000,0.000000,7,8,true,0,0,128,true,true,true,false,13872,0,0,true,false,true,0,0,0,0,0,true,7,false,0.000000,270
sphere,17,9,270,0,0,0.000000,0.000000,7,8,true,0,0,128,true,true,true,false,13872,0,0,true,false,true,0,0,0,0,0,true,7,false,0.000000,270
sphere,17,17,270,0,0,0.000000,0.000000,7,8,true,0,0,128,true,true,true,false,13872,0,0,true,false,true,0,0,0,0,0,true,7,false,0.000000,270
torus,17,2,328,0,16,0.048780,0.029412,6,4,true,0,16,128,true,true,true,false,13872,0,408,true,false,true,8,0,8,16,0,true,6,true,0.048780,328
torus,17,3,328,0,16,0.048780,0.029412,6,4,true,0,16,128,true,true,true,false,13872,0,408,true,false,true,8,0,8,16,0,true,6,true,0.048780,328
torus,17,5,328,0,16,0.048780,0.029412,6,4,true,0,16,128,true,true,true,false,13872,0,408,true,false,true,8,0,8,16,0,true,6,true,0.048780,328
torus,17,9,328,0,16,0.048780,0.029412,6,4,true,0,16,128,true,true,true,false,13872,0,408,true,false,true,8,0,8,16,0,true,6,true,0.048780,328
torus,17,17,328,0,16,0.048780,0.029412,6,4,true,0,16,128,true,true,true,false,13872,0,408,true,false,true,8,0,8,16,0,true,6,true,0.048780,328
box_exact,17,2,294,0,0,0.000000,0.000072,7,7,true,0,0,128,true,true,true,false,13872,0,1,true,false,true,0,0,0,0,0,true,7,false,0.000000,294
box_exact,17,3,294,0,0,0.000000,0.000072,7,7,true,0,0,128,true,true,true,false,13872,0,1,true,false,true,0,0,0,0,0,true,7,false,0.000000,294
box_exact,17,5,294,0,0,0.000000,0.000072,7,7,true,0,0,128,true,true,true,false,13872,0,1,true,false,true,0,0,0,0,0,true,7,false,0.000000,294
box_exact,17,9,294,0,0,0.000000,0.000072,7,7,true,0,0,128,true,true,true,false,13872,0,1,true,false,true,0,0,0,0,0,true,7,false,0.000000,294
box_exact,17,17,294,0,0,0.000000,0.000072,7,7,true,0,0,128,true,true,true,false,13872,0,1,true,false,true,0,0,0,0,0,true,7,false,0.000000,294
csg_difference,17,2,294,6,21,0.071429,0.016220,5,5,true,0,21,128,true,true,true,true,13872,0,225,true,false,true,7,7,7,21,0,true,5,true,0.071429,294
csg_difference,17,3,294,6,21,0.071429,0.017085,5,5,true,0,21,128,true,true,true,true,13872,0,237,true,false,true,7,7,7,21,0,true,5,true,0.071429,294
csg_difference,17,5,294,6,21,0.071429,0.017085,5,5,true,0,21,128,true,true,true,true,13872,0,237,true,false,true,7,7,7,21,0,true,5,true,0.071429,294
csg_difference,17,9,294,6,21,0.071429,0.017085,5,5,true,0,21,128,true,true,true,true,13872,0,237,true,false,true,7,7,7,21,0,true,5,true,0.071429,294
csg_difference,17,17,294,6,21,0.071429,0.017085,5,5,true,0,21,128,true,true,true,true,13872,0,237,true,false,true,7,7,7,21,0,true,5,true,0.071429,294
thin_plate,17,2,126,0,49,0.388889,0.003532,1,6,false,0,49,128,true,true,true,false,13872,0,49,true,false,true,0,49,0,49,0,true,1,true,0.388889,126
thin_plate,17,3,126,0,49,0.388889,0.003532,2,6,false,0,49,128,true,true,true,false,13872,0,49,true,false,true,0,49,0,49,0,true,2,true,0.388889,126
thin_plate,17,5,126,0,49,0.388889,0.003532,2,6,false,0,49,128,true,true,true,false,13872,0,49,true,false,true,0,49,0,49,0,true,2,true,0.388889,126
thin_plate,17,9,126,0,49,0.388889,0.003532,2,6,false,0,49,128,true,true,true,false,13872,0,49,true,false,true,0,49,0,49,0,true,2,true,0.388889,126
thin_plate,17,17,126,0,49,0.388889,0.003532,2,6,false,0,49,128,true,true,true,false,13872,0,49,true,false,true,0,49,0,49,0,true,2,true,0.388889,126
gyroid,17,2,1260,60,147,0.116667,0.146194,4,2,true,0,147,128,true,true,true,true,13872,0,2028,true,false,true,49,49,49,147,0,true,4,true,0.116667,1260
