# A-022: does the decider-modified table remove MDC's residue?
field,extractor,samples,non_manifold_edges,non_manifold_vertices,boundary_edges,triangles
sphere,marching_cubes,33,0,0,0,2312
sphere,mc+decider,33,0,0,0,2312
sphere,mdc+separate,33,0,0,0,2316
sphere,mdc+decider,33,0,0,0,2316
sphere,surface_nets,33,0,0,0,2316
sphere,dual_contouring,33,0,0,0,2316
torus,marching_cubes,33,0,0,0,2256
torus,mc+decider,33,0,0,0,2256
torus,mdc+separate,33,0,0,0,2256
torus,mdc+decider,33,0,0,0,2256
torus,surface_nets,33,0,0,0,2256
torus,dual_contouring,33,0,0,0,2256
box_exact,marching_cubes,33,0,0,0,2696
box_exact,mc+decider,33,0,0,0,2696
box_exact,mdc+separate,33,0,0,0,2700
box_exact,mdc+decider,33,0,0,0,2700
box_exact,surface_nets,33,0,0,0,2700
box_exact,dual_contouring,33,0,0,0,2700
csg_difference,marching_cubes,33,0,0,0,2768
csg_difference,mc+decider,33,0,0,0,2768
csg_difference,mdc+separate,33,0,0,0,2772
csg_difference,mdc+decider,33,0,0,0,2772
csg_difference,surface_nets,33,0,0,0,2772
csg_difference,dual_contouring,33,0,0,0,2772
thin_plate,marching_cubes,33,0,0,0,1016
thin_plate,mc+decider,33,0,0,0,1016
thin_plate,mdc+separate,33,0,0,0,1020
thin_plate,mdc+decider,33,0,0,0,1020
thin_plate,surface_nets,33,0,0,0,1020
thin_plate,dual_contouring,33,0,0,0,1020
gyroid,marching_cubes,33,0,0,0,10632
gyroid,mc+decider,33,0,0,0,10632
gyroid,mdc+separate,33,0,0,0,10584
gyroid,mdc+decider,33,0,0,0,10584
gyroid,surface_nets,33,15,40,0,10584
gyroid,dual_contouring,33,15,40,0,10584
fbm_terrain,marching_cubes,33,0,0,190,3946
fbm_terrain,mc+decider,33,0,0,190,3946
fbm_terrain,mdc+separate,33,0,0,184,3758
fbm_terrain,mdc+decider,33,0,0,184,3758
fbm_terrain,surface_nets,33,15,30,181,3758
fbm_terrain,dual_contouring,33,15,30,181,3758
noise_cavity,marching_cubes,33,0,0,0,13236
noise_cavity,mc+decider,33,0,0,0,13052
noise_cavity,mdc+separate,33,64,128,0,13044
noise_cavity,mdc+decider,33,40,80,0,13044
noise_cavity,surface_nets,33,297,551,0,13044
noise_cavity,dual_contouring,33,297,551,0,13044
sphere,marching_cubes,49,0,0,0,5240
sphere,mc+decider,49,0,0,0,5240
sphere,mdc+separate,49,0,0,0,5244
sphere,mdc+decider,49,0,0,0,5244
sphere,surface_nets,49,0,0,0,5244
sphere,dual_contouring,49,0,0,0,5244
torus,marching_cubes,49,0,0,0,4848
torus,mc+decider,49,0,0,0,4848
torus,mdc+separate,49,0,0,0,4848
torus,mdc+decider,49,0,0,0,4848
torus,surface_nets,49,0,0,0,4848
