# A-024: is the 128³ penalty a 64 KiB plane stride?
# commit b79545e at 2026-08-16T06:22:33Z
group,shape,samples,plane_bytes,plane_is_power_of_two,cycles_per_sample,cache_misses_per_sample,ipc,ns_per_sample
baseline,127x127x127,2048383,64516,0,36.2353,1.4192,4.6470,8.6629
baseline,128x128x128,2097152,65536,1,35.2758,1.4018,4.7762,8.4566
baseline,129x129x129,2146689,66564,0,35.7328,1.3939,4.7138,8.5430
plane,129x128x128,2113536,66048,0,35.3136,1.3996,4.7693,8.4544
plane,128x129x128,2113536,66048,0,35.9678,1.4230,4.6846,8.5940
plane,130x128x128,2129920,66560,0,35.4253,1.4571,4.7564,8.4654
plane,128x130x128,2129920,66560,0,35.8505,1.3907,4.7002,8.5677
depth,128x128x129,2113536,65536,1,35.6375,1.4306,4.7279,8.5156
depth,128x128x130,2129920,65536,1,35.6408,1.4305,4.7278,8.5161
baseline,255x255x255,16581375,260100,0,43.9047,1.3753,3.8749,10.4953
baseline,256x256x256,16777216,262144,1,38.9823,1.3994,4.3653,9.3192
baseline,257x257x257,16974593,264196,0,42.1966,1.4223,4.0321,10.0981
row,128x131x131,2196608,67072,0,36.2208,1.3157,4.6531,8.6568
