# A-025: every two-cell configuration that can make MDC non-manifold
case_a,case_b,cycles_a,cycles_b,offending,unavoidable
96,6,2,2,1,0
96,22,2,3,1,0
96,38,2,2,1,0
96,54,2,2,1,0
96,70,2,2,1,0
96,86,2,2,1,0
96,102,2,2,1,0
96,118,2,1,0,0
96,134,2,3,1,0
96,150,2,4,1,0
96,166,2,2,1,0
96,182,2,2,1,0
96,198,2,2,1,0
96,214,2,2,1,0
96,230,2,1,0,0
96,246,2,1,0,0
97,6,3,2,1,0
97,22,3,3,1,0
97,38,3,2,1,0
97,54,3,2,1,0
97,70,3,2,1,0
97,86,3,2,1,0
97,102,3,2,1,0
97,118,3,1,1,0
97,134,3,3,1,0
97,150,3,4,1,0
97,166,3,2,1,0
97,182,3,2,1,0
97,198,3,2,1,0
97,214,3,2,1,0
97,230,3,1,1,0
97,246,3,1,1,0
98,6,2,2,1,0
98,22,2,3,1,0
98,38,2,2,1,0
98,54,2,2,1,0
98,70,2,2,1,0
98,86,2,2,1,0
98,102,2,2,1,0
98,118,2,1,0,0
98,134,2,3,1,0
98,150,2,4,1,0
98,166,2,2,1,0
98,182,2,2,1,0
98,198,2,2,1,0
98,214,2,2,1,0
98,230,2,1,0,0
98,246,2,1,0,0
99,6,2,2,1,0
99,22,2,3,1,0
99,38,2,2,1,0
99,54,2,2,1,0
99,70,2,2,1,0
99,86,2,2,1,0
99,102,2,2,1,0
99,118,2,1,1,0
99,134,2,3,1,0
99,150,2,4,1,0
99,166,2,2,1,0
99,182,2,2,1,0
99,198,2,2,1,0
99,214,2,2,1,0
99,230,2,1,1,0
99,246,2,1,1,0
100,6,2,2,1,0
100,22,2,3,1,0
100,38,2,2,1,0
100,54,2,2,1,0
100,70,2,2,1,0
100,86,2,2,1,0
100,102,2,2,1,0
100,118,2,1,0,0
100,134,2,3,1,0
100,150,2,4,1,0
100,166,2,2,1,0
100,182,2,2,1,0
100,198,2,2,1,0
100,214,2,2,1,0
100,230,2,1,0,0
100,246,2,1,0,0
101,6,2,2,1,0
101,22,2,3,1,0
101,38,2,2,1,0
101,54,2,2,1,0
101,70,2,2,1,0
101,86,2,2,1,0
101,102,2,2,1,0
101,118,2,1,1,0
101,134,2,3,1,0
101,150,2,4,1,0
101,166,2,2,1,0
101,182,2,2,1,0
101,198,2,2,1,0
101,214,2,2,1,0
101,230,2,1,1,0
101,246,2,1,1,0
102,6,2,2,1,0
102,22,2,3,1,0
102,38,2,2,1,0
102,54,2,2,1,0
102,70,2,2,1,0
102,86,2,2,1,0
102,102,2,2,1,0
102,118,2,1,1,0
102,134,2,3,1,0
102,150,2,4,1,0
102,166,2,2,1,0
102,182,2,2,1,0
102,198,2,2,1,0
102,214,2,2,1,0
102,230,2,1,1,0
102,246,2,1,1,0
103,6,1,2,0,0
103,22,1,3,1,0
103,38,1,2,0,0
103,54,1,2,1,0
103,70,1,2,0,0
103,86,1,2,1,0
103,102,1,2,1,0
103,118,1,1,1,0
103,134,1,3,1,0
103,150,1,4,1,0
103,166,1,2,1,0
103,182,1,2,1,0
103,198,1,2,1,0
103,214,1,2,1,0
103,230,1,1,1,0
103,246,1,1,1,0
104,6,3,2,1,0
104,22,3,3,1,0
104,38,3,2,1,0
104,54,3,2,1,0
104,70,3,2,1,0
104,86,3,2,1,0
104,102,3,2,1,0
104,118,3,1,1,0
104,134,3,3,1,0
104,150,3,4,1,0
104,166,3,2,1,0
104,182,3,2,1,0
104,198,3,2,1,0
104,214,3,2,1,0
104,230,3,1,1,0
104,246,3,1,1,0
105,6,4,2,1,0
105,22,4,3,1,0
105,38,4,2,1,0
105,54,4,2,1,0
105,70,4,2,1,0
105,86,4,2,1,0
105,102,4,2,1,0
105,118,4,1,1,0
105,134,4,3,1,0
105,150,4,4,1,0
105,166,4,2,1,0
105,182,4,2,1,0
105,198,4,2,1,0
105,214,4,2,1,0
105,230,4,1,1,0
105,246,4,1,1,0
106,6,2,2,1,0
106,22,2,3,1,0
106,38,2,2,1,0
106,54,2,2,1,0
106,70,2,2,1,0
106,86,2,2,1,0
106,102,2,2,1,0
