field,rule,samples,median_ms,vertices,triangles,non_manifold_edges,self_intersections_per_1k,hausdorff
sphere,qef,17,0.389633,272,540,0,,1.6326982032669256e-2
sphere,centroid,17,0.154092,272,540,0,,3.6401304361554886e-2
sphere,qef,33,2.329252,1160,2316,0,0,4.520998737296712e-3
sphere,centroid,33,1.446573,1160,2316,0,0,8.557958950670396e-3
sphere,qef,65,14.019977,4760,9516,0,,1.09311271728112e-3
sphere,centroid,65,10.076991,4760,9516,0,,2.251034304034862e-3
torus,qef,17,0.478564,328,656,0,,3.762238279437405e-2
torus,centroid,17,0.167312,328,656,0,,8.202442398849973e-2
torus,qef,33,2.423931,1128,2256,0,0,1.1084884692542303e-2
torus,centroid,33,1.337132,1128,2256,0,0,2.1352427647167303e-2
torus,qef,65,14.311720,4208,8416,0,,2.4780812918868997e-3
torus,centroid,65,10.692557,4208,8416,0,,5.420016719208807e-3
box_exact,qef,17,0.301623,296,588,0,,2.8581696494535316e-3
box_exact,centroid,17,0.159222,296,588,0,,2.8867513459481303e-1
box_exact,qef,33,1.912437,1352,2700,0,0,1.4290848247268618e-3
box_exact,centroid,33,1.282982,1352,2700,0,0,1.443375672974067e-1
box_exact,qef,65,13.240349,5768,11532,0,,7.145424123633348e-4
box_exact,centroid,65,10.308313,5768,11532,0,,7.216878364870336e-2
csg_difference,qef,17,0.333713,296,588,0,,2.19581660868259e-2
csg_difference,centroid,17,0.169741,296,588,0,,3.1314529864578594e-1
csg_difference,qef,33,2.150430,1388,2772,0,0,2.365409144062276e-2
csg_difference,centroid,33,1.441983,1388,2772,0,0,1.5255161367266593e-1
csg_difference,qef,65,14.364839,6014,12024,0,,2.056749027443212e-2
csg_difference,centroid,65,10.974989,6014,12024,0,,8.076577886059148e-2
thin_plate,qef,17,0.214432,128,252,0,,2.3351438445684152e-3
thin_plate,centroid,17,0.150171,128,252,0,,2.358495283014152e-1
thin_plate,qef,33,1.495814,512,1020,0,0,1.1697563431318871e-3
thin_plate,centroid,33,1.246261,512,1020,0,0,1.1814539065631542e-1
thin_plate,qef,65,11.185061,2048,4092,0,,5.892267680315371e-4
thin_plate,centroid,65,10.092321,2048,4092,0,,5.951190357119052e-2
gyroid,qef,17,2.285630,1214,2520,33,,
gyroid,centroid,17,0.494764,1214,2520,33,,
gyroid,qef,33,10.041740,5240,10584,15,3.1179138321995463,
gyroid,centroid,33,3.148208,5240,10584,15,0,
gyroid,qef,65,48.154325,21432,43068,69,,
gyroid,centroid,65,21.632226,21432,43068,69,,
fbm_terrain,qef,17,2.141209,470,866,8,,
fbm_terrain,centroid,17,1.678926,470,866,8,,
fbm_terrain,qef,33,11.655615,1958,3758,15,13.837147418839809,
fbm_terrain,centroid,33,8.209534,1958,3758,15,0,
fbm_terrain,qef,65,77.115536,8413,16496,29,,
fbm_terrain,centroid,65,62.511884,8413,16496,29,,
noise_cavity,qef,17,2.281730,1123,2500,131,,
noise_cavity,centroid,17,0.498525,1123,2500,131,,
noise_cavity,qef,33,12.807796,6176,13044,297,29.745476847592762,
noise_cavity,centroid,33,3.668434,6176,13044,297,0,
noise_cavity,qef,65,64.388071,28375,57764,322,,
noise_cavity,centroid,65,25.926613,28375,57764,322,,
