# machine: AMD Ryzen 9 5900X 12-Core Processor, 24 logical cores, 31 GB
# system:  Linux 7.1.3-1-cachyos
# rustc:   rustc 1.96.0 (ac68faa20 2026-05-25)
# commit:  9568b82
# taken:   2026-08-15T21:17:03Z
field,rule,samples,median_ms,vertices,triangles,non_manifold_edges,self_intersections_per_1k,hausdorff
sphere,qef,17,0.396343,272,540,0,,1.6326982032669256e-2
sphere,centroid,17,0.151861,272,540,0,,3.6401304361554886e-2
sphere,pq_scaled,17,0.394923,272,540,0,,1.6326982032669256e-2
sphere,qef,33,2.343818,1160,2316,0,0,4.520998737296712e-3
sphere,centroid,33,1.236219,1160,2316,0,0,8.557958950670396e-3
sphere,pq_scaled,33,2.305227,1160,2316,0,0,4.520998737296712e-3
sphere,qef,65,13.904784,4760,9516,0,,1.09311271728112e-3
sphere,centroid,65,9.962265,4760,9516,0,,2.251034304034862e-3
sphere,pq_scaled,65,13.897054,4760,9516,0,,1.09311271728112e-3
torus,qef,17,0.479484,328,656,0,,3.762238279437405e-2
torus,centroid,17,0.168351,328,656,0,,8.202442398849973e-2
torus,pq_scaled,17,0.480763,328,656,0,,3.842513758618065e-2
torus,qef,33,2.408598,1128,2256,0,0,1.1084884692542303e-2
torus,centroid,33,1.330630,1128,2256,0,0,2.1352427647167303e-2
torus,pq_scaled,33,2.414258,1128,2256,0,0,1.1036178081028976e-2
torus,qef,65,14.229316,4208,8416,0,,2.4780812918868997e-3
torus,centroid,65,10.632090,4208,8416,0,,5.420016719208807e-3
torus,pq_scaled,65,14.274376,4208,8416,0,,2.4675216903416687e-3
box_exact,qef,17,0.306442,296,588,0,,2.8581696494535316e-3
box_exact,centroid,17,0.159442,296,588,0,,2.8867513459481303e-1
box_exact,pq_scaled,17,0.302502,296,588,0,,2.148946411375895e-3
box_exact,qef,33,1.931535,1352,2700,0,0,1.4290848247268618e-3
box_exact,centroid,33,1.283100,1352,2700,0,0,1.443375672974067e-1
box_exact,pq_scaled,33,1.918094,1352,2700,0,0,1.0744732056879474e-3
box_exact,qef,65,12.988657,5768,11532,0,,7.145424123633348e-4
box_exact,centroid,65,10.268347,5768,11532,0,,7.216878364870336e-2
box_exact,pq_scaled,65,12.987437,5768,11532,0,,5.372366028439737e-4
csg_difference,qef,17,0.335792,296,588,0,,2.19581660868259e-2
csg_difference,centroid,17,0.170151,296,588,0,,3.1314529864578594e-1
csg_difference,pq_scaled,17,0.337352,296,588,0,,2.19581660868259e-2
csg_difference,qef,33,2.157506,1388,2772,0,0,2.365409144062276e-2
csg_difference,centroid,33,1.358970,1388,2772,0,0,1.5255161367266593e-1
csg_difference,pq_scaled,33,2.167466,1388,2772,0,0,2.3725387482688067e-2
csg_difference,qef,65,14.300587,6014,12024,0,,2.056749027443212e-2
csg_difference,centroid,65,10.906582,6014,12024,0,,8.076577886059148e-2
csg_difference,pq_scaled,65,14.269656,6014,12024,0,,2.0550510978184056e-2
thin_plate,qef,17,0.214682,128,252,0,,2.3351438445684152e-3
thin_plate,centroid,17,0.150761,128,252,0,,2.358495283014152e-1
thin_plate,pq_scaled,17,0.215962,128,252,0,,1.7557036846260132e-3
thin_plate,qef,33,1.492611,512,1020,0,0,1.1697563431318871e-3
thin_plate,centroid,33,1.233109,512,1020,0,0,1.1814539065631542e-1
thin_plate,pq_scaled,33,1.472791,512,1020,0,0,8.794942232480514e-4
thin_plate,qef,65,11.392285,2048,4092,0,,5.892267680315371e-4
thin_plate,centroid,65,10.069015,2048,4092,0,,5.951190357119052e-2
thin_plate,pq_scaled,65,10.991602,2048,4092,0,,4.430166518947413e-4
gyroid,qef,17,2.295057,1214,2520,33,,
gyroid,centroid,17,0.490054,1214,2520,33,,
gyroid,pq_scaled,17,2.298617,1214,2520,33,,
gyroid,qef,33,10.076695,5240,10584,15,3.1179138321995463,
gyroid,centroid,33,3.188734,5240,10584,15,0,
gyroid,pq_scaled,33,10.423798,5240,10584,15,2.5510204081632653,
gyroid,qef,65,47.018371,21432,43068,69,,
gyroid,centroid,65,22.110565,21432,43068,69,,
gyroid,pq_scaled,65,48.291611,21432,43068,69,,
fbm_terrain,qef,17,1.978455,470,866,8,,
fbm_terrain,centroid,17,1.135919,470,866,8,,
fbm_terrain,pq_scaled,17,1.983405,470,866,8,,
fbm_terrain,qef,33,11.702868,1958,3758,15,13.837147418839809,
fbm_terrain,centroid,33,8.243122,1958,3758,15,0,
fbm_terrain,pq_scaled,33,11.718928,1958,3758,15,13.571048430015965,
fbm_terrain,qef,65,76.503592,8413,16496,29,,
fbm_terrain,centroid,65,61.845782,8413,16496,29,,
fbm_terrain,pq_scaled,65,76.989186,8413,16496,29,,
noise_cavity,qef,17,2.277977,1123,2500,131,,
noise_cavity,centroid,17,0.497813,1123,2500,131,,
noise_cavity,pq_scaled,17,2.277817,1123,2500,131,,
noise_cavity,qef,33,12.681875,6176,13044,297,29.745476847592762,
noise_cavity,centroid,33,3.686627,6176,13044,297,0,
noise_cavity,pq_scaled,33,12.663975,6176,13044,297,28.74885004599816,
noise_cavity,qef,65,64.823674,28375,57764,322,,
noise_cavity,centroid,65,26.244596,28375,57764,322,,
noise_cavity,pq_scaled,65,64.042469,28375,57764,322,,
