# machine: AMD Ryzen 9 5900X 12-Core Processor, 24 logical cores, 31 GB
# system:  Linux 7.1.3-1-cachyos
# rustc:   rustc 1.96.0 (ac68faa20 2026-05-25)
# commit:  96f155f (code modified since this commit -- these numbers are not attributable)
# taken:   2026-08-16T00:13:17Z
field,samples,declared,declared_bound,sup_grad,inf_grad,eikonal_pct,bound_gap,certified_pct
sphere,17,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
sphere,33,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
sphere,65,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
torus,17,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
torus,33,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
torus,65,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
box_exact,17,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,72.9730
box_exact,33,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,86.9822
box_exact,65,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,93.6200
csg_difference,17,underestimate,1.000000,1.00000000,1.00000000,100.0000,1.000000,69.2568
csg_difference,33,underestimate,1.000000,1.00000000,1.00000000,100.0000,1.000000,85.6628
csg_difference,65,underestimate,1.000000,1.00000000,1.00000000,100.0000,1.000000,92.7502
thin_plate,17,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
thin_plate,33,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
thin_plate,65,exact,1.000000,1.00000000,1.00000000,100.0000,1.000000,100.0000
gyroid,17,lipschitz,3.464102,1.73002817,0.08857117,66.8304,0.499416,84.8435
gyroid,33,lipschitz,3.464102,1.73002817,0.08857117,66.8304,0.499416,92.9389
gyroid,65,lipschitz,3.464102,1.73002817,0.08857117,66.8304,0.499416,96.3606
fbm_terrain,17,unbounded,,2.90822109,1.00004024,10.7422,,100.0000
fbm_terrain,33,unbounded,,2.90822109,1.00004024,10.7422,,100.0000
fbm_terrain,65,unbounded,,2.90822109,1.00004024,10.7422,,100.0000
noise_cavity,17,unbounded,,9.37618956,0.28905408,85.4401,,35.8860
noise_cavity,33,unbounded,,9.37618956,0.28905408,85.4401,,48.5913
noise_cavity,65,unbounded,,9.37618956,0.28905408,85.4401,,80.0176
