field,constructor,family,samples,ms,out_kib,worst,worst_near
sphere,exact,field,33,1.222490,280.8,0.12500000,0.12500000
sphere,swept,field,33,4.099623,280.8,0.10705821,0.03565963
sphere,marched,field,33,13.864521,280.8,0.10705821,0.03565963
sphere,degraded-in,repair,33,0.000000,0.0,2.46410162,0.25000000
sphere,band,repair,33,2.033886,280.8,2.46410162,0.12500000
sphere,pseudonormal,mesh,33,254.095095,280.8,0.00570594,0.00534241
sphere,winding,mesh,33,1544.009926,280.8,0.00570594,0.00534241
sphere,exact,field,65,9.850939,2145.5,0.06250000,0.06250000
sphere,swept,field,65,30.102141,2145.5,0.09270862,0.01972628
sphere,marched,field,65,121.692905,2145.5,0.06721673,0.01972628
sphere,degraded-in,repair,65,0.000000,0.0,2.46410162,0.12500000
sphere,band,repair,65,9.700218,2145.5,2.46410162,0.06250000
sphere,pseudonormal,mesh,65,4786.205232,2145.5,0.00143610,0.00133125
sphere,winding,mesh,65,44593.408316,2145.5,0.00143610,0.00133125
torus,exact,field,33,1.123869,280.8,0.12355825,0.12355825
torus,swept,field,33,4.072093,280.8,0.12191294,0.05201186
torus,marched,field,33,13.225396,280.8,0.11525727,0.05201186
torus,degraded-in,repair,33,0.000000,0.0,2.40982393,0.24930609
torus,band,repair,33,1.788815,280.8,2.40982393,0.11414588
torus,pseudonormal,mesh,33,252.543513,280.8,0.01406012,0.01406012
torus,winding,mesh,33,1574.741287,280.8,0.01406012,0.01406012
torus,exact,field,65,9.554517,2145.5,0.06232590,0.06232590
torus,swept,field,65,30.056811,2145.5,0.10534834,0.01955903
torus,marched,field,65,116.494508,2145.5,0.05794094,0.01955903
torus,degraded-in,repair,65,0.000000,0.0,2.40982393,0.12489044
torus,band,repair,65,8.910212,2145.5,2.40982393,0.06034532
torus,pseudonormal,mesh,65,4758.886555,2145.5,0.00402128,0.00396062
torus,winding,mesh,65,41135.973613,2145.5,0.00402128,0.00396062
box_exact,exact,field,33,1.099849,280.8,0.21650635,0.21650635
box_exact,swept,field,33,2.390929,280.8,0.27647708,0.19145648
box_exact,marched,field,33,9.634348,280.8,0.27646172,0.19145648
box_exact,degraded-in,repair,33,0.000000,0.0,1.73205081,0.25000000
box_exact,band,repair,33,2.239278,280.8,1.73205081,0.21650635
box_exact,pseudonormal,mesh,33,163.087077,280.8,0.14433757,0.14433757
box_exact,winding,mesh,33,1396.671114,280.8,0.14433757,0.14433757
box_exact,exact,field,65,8.647470,2145.5,0.10825318,0.10825318
box_exact,swept,field,65,20.095402,2145.5,0.15862236,0.09572824
box_exact,marched,field,65,80.659082,2145.5,0.15836731,0.09572824
box_exact,degraded-in,repair,65,0.000000,0.0,1.73205081,0.12500000
box_exact,band,repair,65,10.115572,2145.5,1.73205081,0.10825318
box_exact,pseudonormal,mesh,65,3425.537879,2145.5,0.07216878,0.07216878
box_exact,winding,mesh,65,43583.222569,2145.5,0.07216878,0.07216878
thin_plate,exact,field,33,1.095259,280.8,0.17721200,0.17677670
thin_plate,swept,field,33,3.141485,280.8,0.24421777,0.14468411
thin_plate,marched,field,33,11.111150,280.8,0.23861547,0.14468411
thin_plate,degraded-in,repair,33,0.000000,0.0,2.43929421,0.25000000
thin_plate,band,repair,33,0.888797,280.8,2.43929421,0.14468411
thin_plate,pseudonormal,mesh,33,89.512795,280.8,0.08926003,0.08838835
thin_plate,winding,mesh,33,527.199491,280.8,0.08926003,0.08838835
thin_plate,exact,field,65,8.585490,2145.5,0.08926786,0.08838835
thin_plate,swept,field,65,25.326475,2145.5,0.19222527,0.07458483
thin_plate,marched,field,65,91.147218,2145.5,0.14179622,0.07458483
thin_plate,degraded-in,repair,65,0.000000,0.0,2.43929421,0.12500000
thin_plate,band,repair,65,4.265835,2145.5,2.43929421,0.07458483
thin_plate,pseudonormal,mesh,65,2036.611999,2145.5,0.04592793,0.04502501
thin_plate,winding,mesh,65,15529.562404,2145.5,0.04592793,0.04502501
