field,operator,level,samples,triangles,worst
sphere,decimate,0,65,9512,0.00045788
sphere,resample,0,65,9512,0.00045788
sphere,decimate,1,33,2312,0.00170113
sphere,resample,1,33,2312,0.00170113
sphere,decimate,2,17,536,0.00585378
sphere,resample,2,17,536,0.00585378
sphere,decimate,3,9,104,0.01429623
sphere,resample,3,9,104,0.01429623
torus,decimate,0,65,8416,0.00145659
torus,resample,0,65,8416,0.00145659
torus,decimate,1,33,2256,0.00629380
torus,resample,1,33,2256,0.00629380
torus,decimate,2,17,656,0.02238324
torus,resample,2,17,656,0.02238324
torus,decimate,3,9,128,0.04154877
torus,resample,3,9,128,0.04154877
box_exact,decimate,0,65,11528,0.00000000
box_exact,resample,0,65,11528,0.00000000
box_exact,decimate,1,33,2696,0.00000000
box_exact,resample,1,33,2696,0.00000000
box_exact,decimate,2,17,584,0.00000000
box_exact,resample,2,17,584,0.00000000
box_exact,decimate,3,9,104,0.00000000
box_exact,resample,3,9,104,0.00000000
csg_difference,decimate,0,65,12020,0.00062969
csg_difference,resample,0,65,12020,0.00062969
csg_difference,decimate,1,33,2768,0.00242259
csg_difference,resample,1,33,2768,0.00242259
csg_difference,decimate,2,17,584,0.00882463
csg_difference,resample,2,17,584,0.00882463
csg_difference,decimate,3,9,104,0.03244722
csg_difference,resample,3,9,104,0.03244722
thin_plate,decimate,0,65,4088,0.00000000
thin_plate,resample,0,65,4088,0.00000000
thin_plate,decimate,1,33,1016,0.00000000
thin_plate,resample,1,33,1016,0.00000000
thin_plate,decimate,2,17,248,0.00000000
thin_plate,resample,2,17,248,0.00000000
thin_plate,decimate,3,9,56,0.00000000
thin_plate,resample,3,9,56,0.00000000
gyroid,decimate,0,65,43116,0.11371631
gyroid,resample,0,65,43116,0.11371631
gyroid,decimate,1,33,10632,0.14658302
gyroid,resample,1,33,10632,0.14658302
gyroid,decimate,2,17,2536,0.25779895
gyroid,resample,2,17,2536,0.25779895
gyroid,decimate,3,9,556,0.72661061
gyroid,resample,3,9,556,0.72661061
fbm_terrain,decimate,0,65,16884,0.07275794
fbm_terrain,resample,0,65,16884,0.07275794
fbm_terrain,decimate,1,33,3946,0.22772459
fbm_terrain,resample,1,33,3946,0.22772459
fbm_terrain,decimate,2,17,956,0.33109235
fbm_terrain,resample,2,17,956,0.33109235
fbm_terrain,decimate,3,9,238,0.93486371
fbm_terrain,resample,3,9,238,0.93486371
noise_cavity,decimate,0,65,58112,0.10940806
noise_cavity,resample,0,65,58112,0.10940806
noise_cavity,decimate,1,33,13236,0.19434514
noise_cavity,resample,1,33,13236,0.19434514
noise_cavity,decimate,2,17,2560,0.44100303
noise_cavity,resample,2,17,2560,0.44100303
noise_cavity,decimate,3,9,372,0.50222328
noise_cavity,resample,3,9,372,0.50222328
ball_drilled_g1,decimate,0,65,26448,0.01265901
ball_drilled_g1,resample,0,65,26448,0.01265901
ball_drilled_g1,decimate,1,33,6720,0.00721071
ball_drilled_g1,resample,1,33,6720,0.00721071
ball_drilled_g1,decimate,2,17,1712,0.01972018
ball_drilled_g1,resample,2,17,1712,0.01972018
ball_drilled_g1,decimate,3,9,368,0.02754880
ball_drilled_g1,resample,3,9,368,0.02754880
graph_theta_g2,decimate,0,65,10408,0.01441777
graph_theta_g2,resample,0,65,10408,0.01441777
graph_theta_g2,decimate,1,33,2640,0.00668153
graph_theta_g2,resample,1,33,2640,0.00668153
graph_theta_g2,decimate,2,17,688,0.06860930
graph_theta_g2,resample,2,17,688,0.06860930
graph_theta_g2,decimate,3,9,120,0.05554387
graph_theta_g2,resample,3,9,120,0.05554387
ball_drilled_g2,decimate,0,65,28280,0.00854095
ball_drilled_g2,resample,0,65,28280,0.00854095
ball_drilled_g2,decimate,1,33,7208,0.02013324
ball_drilled_g2,resample,1,33,7208,0.02013324
ball_drilled_g2,decimate,2,17,1864,0.04447409
ball_drilled_g2,resample,2,17,1864,0.04447409
ball_drilled_g2,decimate,3,9,408,0.15750000
ball_drilled_g2,resample,3,9,408,0.15750000
ball_drilled_g3,decimate,0,65,30952,0.01324889
ball_drilled_g3,resample,0,65,30952,0.01324889
ball_drilled_g3,decimate,1,33,7928,0.03147861
ball_drilled_g3,resample,1,33,7928,0.03147861
ball_drilled_g3,decimate,2,17,1936,0.04447409
ball_drilled_g3,resample,2,17,1936,0.04447409
ball_drilled_g3,decimate,3,9,456,0.16646266
ball_drilled_g3,resample,3,9,456,0.16646266
graph_k4_g3,decimate,0,65,12944,0.00120965
graph_k4_g3,resample,0,65,12944,0.00120965
graph_k4_g3,decimate,1,33,3296,0.00555095
graph_k4_g3,resample,1,33,3296,0.00555095
graph_k4_g3,decimate,2,17,752,0.01620286
graph_k4_g3,resample,2,17,752,0.01620286
graph_k4_g3,decimate,3,9,80,0.03491914
graph_k4_g3,resample,3,9,80,0.03491914
graph_cube_g5,decimate,0,65,17152,0.00144326
graph_cube_g5,resample,0,65,17152,0.00144326
graph_cube_g5,decimate,1,33,4672,0.00281337
graph_cube_g5,resample,1,33,4672,0.00281337
graph_cube_g5,decimate,2,17,1408,0.01972018
graph_cube_g5,resample,2,17,1408,0.01972018
graph_cube_g5,decimate,3,9,0,0.00000000
graph_cube_g5,resample,3,9,0,0.00000000
sphere,mean,0,65,9512,0.00045788
sphere,mean,1,33,2312,0.00447544
sphere,mean,2,17,536,0.01995713
sphere,mean,3,9,104,0.07195845
torus,mean,0,65,8416,0.00145659
torus,mean,1,33,2256,0.01075180
torus,mean,2,17,608,0.04593713
torus,mean,3,9,0,0.00000000
box_exact,mean,0,65,11528,0.00000000
box_exact,mean,1,33,2696,0.00000000
box_exact,mean,2,17,584,0.00892857
box_exact,mean,3,9,104,0.02290146
csg_difference,mean,0,65,12020,0.00062969
csg_difference,mean,1,33,2768,0.03300087
csg_difference,mean,2,17,584,0.03239788
csg_difference,mean,3,9,104,0.13355572
thin_plate,mean,0,65,4088,0.00000000
thin_plate,mean,1,33,0,0.00000000
