# family sweep (M-001), sphere, f32
# commit a4960e4 on amd-ryzen-9-5900x-12-core at 2026-08-16T06:07:38Z
# cycles/ipc/ghz are `unavailable` where perf_event_open is not; budget 2000 ms per run
algorithm,scalar,field,samples,n_cubed,median_ms,ns_per_sample,cycles_per_sample,instructions_per_sample,ipc,ghz,vertices,triangles
dual_contouring,f32,sphere,16,4096,0.270432,66.0234,274.635,762.012,2.775,4.160,266,528
dual_contouring,f32,sphere,24,13824,0.745196,53.9060,224.368,613.765,2.736,4.162,674,1344
dual_contouring,f32,sphere,32,32768,1.289040,39.3384,164.510,481.043,2.924,4.182,1130,2256
dual_contouring,f32,sphere,48,110592,2.972383,26.8770,112.540,377.737,3.356,4.187,2594,5184
dual_contouring,f32,sphere,64,262144,6.069967,23.1551,96.909,326.802,3.372,4.185,4730,9456
dual_contouring,f32,sphere,96,884736,15.803101,17.8619,74.761,270.945,3.624,4.185,10682,21360
dual_contouring,f32,sphere,128,2097152,62.408920,29.7589,124.131,242.785,1.956,4.171,19010,38016
dual_contouring,f32,sphere,192,7077888,103.294075,14.5939,60.840,214.906,3.532,4.169,43058,86112
dual_contouring,f32,sphere,256,16777216,276.533429,16.4827,68.913,200.757,2.913,4.181,76778,153552
manifold_dual_contouring,f32,sphere,16,4096,0.298822,72.9546,304.515,848.282,2.786,4.174,266,528
manifold_dual_contouring,f32,sphere,24,13824,0.826387,59.7792,249.915,682.295,2.730,4.181,674,1344
manifold_dual_contouring,f32,sphere,32,32768,1.458751,44.5175,184.133,533.786,2.899,4.136,1130,2256
manifold_dual_contouring,f32,sphere,48,110592,3.330585,30.1160,126.126,418.380,3.317,4.188,2594,5184
manifold_dual_contouring,f32,sphere,64,262144,6.778513,25.8580,108.220,361.526,3.341,4.185,4730,9456
manifold_dual_contouring,f32,sphere,96,884736,17.635586,19.9332,83.412,299.133,3.586,4.185,10682,21360
manifold_dual_contouring,f32,sphere,128,2097152,66.065639,31.5026,131.579,267.682,2.034,4.177,19010,38016
manifold_dual_contouring,f32,sphere,192,7077888,113.888667,16.0908,67.310,236.546,3.514,4.183,43058,86112
manifold_dual_contouring,f32,sphere,256,16777216,300.196072,17.8931,74.547,220.751,2.961,4.166,76778,153552
marching_cubes,f32,sphere,16,4096,0.038260,9.3408,39.782,153.977,3.871,4.259,264,524
marching_cubes,f32,sphere,24,13824,0.121691,8.8029,37.131,149.202,4.018,4.218,672,1340
