field,samples,active,uncertified,certified
sphere,17,272,0,1.000000
sphere,33,1160,0,1.000000
sphere,65,4760,0,1.000000
torus,17,328,0,1.000000
torus,33,1128,0,1.000000
torus,65,4208,0,1.000000
box_exact,17,296,80,0.729730
box_exact,33,1352,176,0.869822
box_exact,65,5768,368,0.936200
csg_difference,17,296,91,0.692568
csg_difference,33,1388,199,0.856628
csg_difference,65,6014,436,0.927502
thin_plate,17,128,0,1.000000
thin_plate,33,512,0,1.000000
thin_plate,65,2048,0,1.000000
gyroid,17,1214,184,0.848435
gyroid,33,5240,370,0.929389
gyroid,65,21432,780,0.963606
fbm_terrain,17,470,0,1.000000
fbm_terrain,33,1958,0,1.000000
fbm_terrain,65,8413,0,1.000000
noise_cavity,17,1123,720,0.358860
noise_cavity,33,6176,3175,0.485913
noise_cavity,65,28375,5670,0.800176
ball_drilled_g1,17,856,32,0.962617
ball_drilled_g1,33,3360,56,0.983333
ball_drilled_g1,65,13224,96,0.992740
graph_theta_g2,17,324,48,0.851852
graph_theta_g2,33,1316,12,0.990881
graph_theta_g2,65,5196,8,0.998460
ball_drilled_g2,17,928,64,0.931034
ball_drilled_g2,33,3592,104,0.971047
ball_drilled_g2,65,14136,184,0.986984
ball_drilled_g3,17,956,84,0.912134
ball_drilled_g3,33,3952,148,0.962551
ball_drilled_g3,65,15460,256,0.983441
graph_k4_g3,17,320,100,0.687500
graph_k4_g3,33,1604,52,0.967581
graph_k4_g3,65,6428,112,0.982576
graph_cube_g5,17,688,8,0.988372
graph_cube_g5,33,2320,8,0.996552
graph_cube_g5,65,8560,8,0.999065
