field,samples,vs_exact,vs_swept,near_swept,flood_err,swept_err,xform_err
sphere,17,0.25000000,0.17749786,0.07247797,0.08172068,0.19964552,0.25000000
sphere,33,0.12500000,0.10602707,0.03028019,0.04535145,0.10705811,0.12500000
sphere,65,0.06250000,0.09216762,0.01652047,0.02048477,0.09270859,0.06250000
torus,17,0.23800254,0.18524683,0.09292185,0.09775557,0.23060513,0.24289322
torus,33,0.12313676,0.12122667,0.03726211,0.05201193,0.12191749,0.12355825
torus,65,0.06228089,0.10482180,0.01771179,0.02370062,0.10526919,0.06232592
box_exact,17,0.25000000,0.18555593,0.11104226,0.35355338,0.48228633,0.43301284
box_exact,33,0.12500000,0.12981772,0.05552113,0.17677669,0.27647817,0.21650642
box_exact,65,0.06250000,0.09280539,0.02776057,0.08838835,0.15861177,0.10825324
thin_plate,17,0.25000000,0.27658272,0.13067827,0.25000000,0.40732002,0.35355341
thin_plate,33,0.12500000,0.19780850,0.06395577,0.12500000,0.24420929,0.17721200
thin_plate,65,0.06250000,0.17748356,0.03055560,0.06250000,0.19221234,0.08926791
