field,extractor,samples_per_axis,cell_size,vertices,triangles,vertex_max,vertex_mean,centroid_max,centroid_mean,hausdorff,floor_max,floor_mean,sagitta_estimate,ceiling_share
sphere,dual_contouring,17,0.250000000,272,540,1.632698203e-2,9.504809042e-3,4.460289967e-3,2.033897848e-3,1.632698203e-2,1.482546652e-2,1.095310330e-2,7.812500000e-3,0.091965
sphere,marching_cubes,17,0.250000000,270,536,5.853780078e-3,3.127357860e-3,2.106643821e-2,1.447088236e-2,2.106643821e-2,1.652713040e-2,1.138623438e-2,7.812500000e-3,0.215476
sphere,dual_contouring,33,0.125000000,1160,2316,4.520998737e-3,2.372820475e-3,1.043130162e-3,4.079458290e-4,4.520998737e-3,3.732670300e-3,2.587948338e-3,1.953125000e-3,0.174370
sphere,marching_cubes,33,0.125000000,1158,2312,1.701129071e-3,7.148187656e-4,5.330125382e-3,3.510425739e-3,5.330125382e-3,4.558105998e-3,2.801480668e-3,1.953125000e-3,0.144841
sphere,dual_contouring,65,0.062500000,4760,9516,1.093112717e-3,5.826474768e-4,3.381838697e-4,9.998256332e-5,1.093112717e-3,9.756239359e-4,6.307659183e-4,4.882812500e-4,0.107481
sphere,marching_cubes,65,0.062500000,4758,9512,4.578763403e-4,1.730138661e-4,1.329267782e-3,8.649386010e-4,1.329267782e-3,1.145531614e-3,6.930991038e-4,4.882812500e-4,0.138224
sphere,dual_contouring,129,0.031250000,19232,38460,3.135629533e-4,1.489191308e-4,8.870053686e-5,2.455530593e-5,3.135629533e-4,2.749429013e-4,1.560744048e-4,1.220703125e-4,0.123165
sphere,marching_cubes,129,0.031250000,19230,38456,1.165077665e-4,4.006035913e-5,3.353594935e-4,2.143746653e-4,3.353594935e-4,3.051579266e-4,1.745707770e-4,1.220703125e-4,0.090057
torus,dual_contouring,17,0.250000000,328,656,3.762238279e-2,1.061636308e-2,3.382060687e-2,8.749791761e-3,3.762238279e-2,3.301560242e-2,1.375553305e-2,7.812500000e-3,0.122448
torus,marching_cubes,17,0.250000000,328,656,2.238323572e-2,8.912084352e-3,4.974422251e-2,2.317640794e-2,4.974422251e-2,4.179529236e-2,1.537067812e-2,7.812500000e-3,0.159796
torus,dual_contouring,33,0.125000000,1128,2256,1.108488469e-2,3.912748957e-3,7.542920220e-3,1.737066732e-3,1.108488469e-2,9.219187152e-3,3.993667990e-3,1.953125000e-3,0.168310
torus,marching_cubes,33,0.125000000,1128,2256,6.293798711e-3,1.299332025e-3,1.307933690e-2,5.882229015e-3,1.307933690e-2,1.150300975e-2,4.793219790e-3,1.953125000e-3,0.120520
torus,dual_contouring,65,0.062500000,4208,8416,2.478081292e-3,1.059629033e-3,1.919093221e-3,3.959576495e-4,2.478081292e-3,2.440048222e-3,1.091617379e-3,4.882812500e-4,0.015348
torus,marching_cubes,65,0.062500000,4208,8416,1.456589410e-3,3.214025749e-4,3.758002499e-3,1.531765846e-3,3.758002499e-3,3.296203446e-3,1.270150822e-3,4.882812500e-4,0.122884
torus,dual_contouring,129,0.031250000,17432,34864,7.016889690e-4,2.509010180e-4,4.220141256e-4,9.225665186e-5,7.016889690e-4,6.453115041e-4,2.556453232e-4,1.220703125e-4,0.080345
torus,marching_cubes,129,0.031250000,17432,34864,3.815529879e-4,8.159194348e-5,1.010611300e-3,3.729537688e-4,1.010611300e-3,9.527381528e-4,3.051720315e-4,1.220703125e-4,0.057265
