algorithm,scalar,field,samples,cells,n_cubed,median_ms,vertices,triangles
mc,f32,sphere,16,3375,4096,0.062170,264,524
mc,f32,sphere,24,12167,13824,0.201682,672,1340
mc,f32,sphere,32,29791,32768,0.457604,1128,2252
mc,f32,sphere,48,103823,110592,1.513272,2592,5180
mc,f32,sphere,64,250047,262144,3.506428,4728,9452
mc,f32,sphere,96,857375,884736,11.489041,10680,21356
mc,f32,sphere,128,2048383,2097152,27.120753,19008,38012
mc,f32,sphere,192,6967871,7077888,92.953933,43056,86108
mc,f32,sphere,256,16581375,16777216,221.363036,76776,153548
sn,f32,sphere,16,3375,4096,0.153121,266,528
sn,f32,sphere,24,12167,13824,0.548604,674,1344
sn,f32,sphere,32,29791,32768,1.347281,1130,2256
sn,f32,sphere,48,103823,110592,4.623677,2594,5184
sn,f32,sphere,64,250047,262144,11.781233,4730,9456
sn,f32,sphere,96,857375,884736,40.327017,10682,21360
sn,f32,sphere,128,2048383,2097152,112.919380,19010,38016
sn,f32,sphere,192,6967871,7077888,334.648399,43058,86112
sn,f32,sphere,256,16581375,16777216,823.442130,76778,153552
dc,f32,sphere,16,3375,4096,0.206582,266,528
dc,f32,sphere,24,12167,13824,0.705326,674,1344
dc,f32,sphere,32,29791,32768,1.636724,1130,2256
dc,f32,sphere,48,103823,110592,5.360902,2594,5184
dc,f32,sphere,64,250047,262144,13.371865,4730,9456
dc,f32,sphere,96,857375,884736,44.604372,10682,21360
dc,f32,sphere,128,2048383,2097152,135.461227,19010,38016
dc,f32,sphere,192,6967871,7077888,357.835889,43058,86112
dc,f32,sphere,256,16581375,16777216,877.359422,76778,153552
