algorithm,scalar,field,samples,cells,n_cubed,median_ms,vertices,triangles
mc,f32,sphere,16,3375,4096,0.102375,264,524
mc,f32,sphere,24,12167,13824,0.334333,672,1340
mc,f32,sphere,32,29791,32768,0.653042,1128,2252
mc,f32,sphere,48,103823,110592,1.280667,2592,5180
mc,f32,sphere,64,250047,262144,2.237042,4728,9452
mc,f32,sphere,96,857375,884736,5.325291,10680,21356
mc,f32,sphere,128,2048383,2097152,10.099667,19008,38012
mc,f32,sphere,192,6967871,7077888,33.508708,43056,86108
mc,f32,sphere,256,16581375,16777216,80.249167,76776,153548
sn,f32,sphere,16,3375,4096,0.034417,266,528
sn,f32,sphere,24,12167,13824,0.118417,674,1344
sn,f32,sphere,32,29791,32768,0.279292,1130,2256
sn,f32,sphere,48,103823,110592,0.944334,2594,5184
sn,f32,sphere,64,250047,262144,2.366250,4730,9456
sn,f32,sphere,96,857375,884736,7.816916,10682,21360
sn,f32,sphere,128,2048383,2097152,19.615583,19010,38016
sn,f32,sphere,192,6967871,7077888,70.552875,43058,86112
sn,f32,sphere,256,16581375,16777216,212.465334,76778,153552
dc,f32,sphere,16,3375,4096,0.057208,266,528
dc,f32,sphere,24,12167,13824,0.184500,674,1344
dc,f32,sphere,32,29791,32768,0.371167,1130,2256
dc,f32,sphere,48,103823,110592,1.177459,2594,5184
dc,f32,sphere,64,250047,262144,2.787417,4730,9456
dc,f32,sphere,96,857375,884736,8.680417,10682,21360
dc,f32,sphere,128,2048383,2097152,21.495667,19010,38016
dc,f32,sphere,192,6967871,7077888,73.243875,43058,86112
dc,f32,sphere,256,16581375,16777216,218.947792,76778,153552
