field,samples,triangles,contour_ms,normals_ms,weld_ms,collider_ms,total_ms,contour_share
sphere,33,2312,0.303612,0.011580,0.689065,1.241219,2.245476,13.5211
sphere,65,9512,2.198945,0.047580,3.354593,5.578649,11.179767,19.6690
torus,33,2256,0.388822,0.011460,0.682084,1.221929,2.304295,16.8738
torus,65,8416,2.815610,0.042791,2.981931,4.988105,10.828437,26.0020
box_exact,33,2696,0.346772,0.013560,0.702665,1.221819,2.284816,15.1772
box_exact,65,11528,2.541008,0.057310,3.449753,5.765470,11.813541,21.5093
csg_difference,33,2768,0.412293,0.013830,0.757945,1.322939,2.507007,16.4456
csg_difference,65,12020,3.014341,0.060350,3.826507,6.345264,13.246462,22.7558
thin_plate,33,1016,0.294942,0.005110,0.192572,0.379242,0.871866,33.8288
thin_plate,65,4088,2.257595,0.020850,0.956786,1.765002,5.000233,45.1498
gyroid,33,10632,2.190935,0.056240,3.900908,6.458535,12.606618,17.3792
gyroid,65,43116,13.653125,0.219981,17.489772,28.076585,59.439463,22.9698
fbm_terrain,33,3946,6.828697,0.020180,1.447210,2.386687,10.682774,63.9225
fbm_terrain,65,16884,50.566261,0.087141,7.004469,11.224797,68.882668,73.4093
noise_cavity,33,13236,2.664569,0.067021,4.848903,8.220357,15.800850,16.8635
noise_cavity,65,58112,17.828954,0.297182,24.194778,39.088542,81.409456,21.9003
